port_id,port_name,port_country,port_lat,port_lon,visit_count,project_id,terminal_name,terminal_role,country,terminal_lat,terminal_lon,capacity_mtpa,source,distance_km,country_match,match_status
130e73dd,,MLT,35.93963979613085,14.9120595941129,2,T100000130490,Delimara FSRU,regasification,Malta,35.8277,14.5542,0.5,https://www.gem.wiki/Delimara_FSRU,34.55929022273436,True,outside_distance_threshold
0d7e87bd,ORAN,DZA,35.76902335748717,-0.6228859298486716,1,T100000130243,Arzew-Bethioua LNG Terminal,liquefaction,Algeria,35.80452,-0.24097,21.7,https://www.gem.wiki/Arzew-Bethioua_LNG_Terminal,34.674631229589906,True,outside_distance_threshold
3406af1b,HONGKONG,CHN,22.102315184741887,114.2960569904546,2,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,34.714083940003206,False,outside_distance_threshold
0d7e87bb,ORAN,DZA,35.76920403160756,-0.6276358780462972,1,T100000130243,Arzew-Bethioua LNG Terminal,liquefaction,Algeria,35.80452,-0.24097,21.7,https://www.gem.wiki/Arzew-Bethioua_LNG_Terminal,35.09803757835886,True,outside_distance_threshold
130e7303,,MLT,35.98291761241501,14.89532200156027,2,T100000130490,Delimara FSRU,regasification,Malta,35.8277,14.5542,0.5,https://www.gem.wiki/Delimara_FSRU,35.239579481342915,True,outside_distance_threshold
3406af11,HONGKONG,CHN,22.100683835841235,114.30108462130028,1,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,35.25523885331246,False,outside_distance_threshold
600082ed,,JPN,34.59107457599749,135.02012536811156,2,T100000130517,Senboku 2 LNG Terminal,regasification,Japan,34.536626,135.40147,9.9,https://www.gem.wiki/Senboku_2_LNG_Terminal,35.440078268321635,True,outside_distance_threshold
35692fd9,OKPO,KOR,34.83738620089974,128.79179446892084,1,T100000130315,Tongyoung LNG Terminal,regasification,South Korea,34.9474,128.4255,26.5,https://www.gem.wiki/Tongyoung_LNG_Terminal,35.577166582090186,True,outside_distance_threshold
356c2b47,,KOR,34.61881078725108,127.99216895158249,2,T100000130311,Gwangyang LNG Terminal,regasification,South Korea,34.889,127.7815,7.1,https://www.gem.wiki/Gwangyang_LNG_Terminal,35.67976158730121,True,outside_distance_threshold
0d7e87b3,ORAN,DZA,35.768965385480435,-0.6372016967101185,1,T100000130243,Arzew-Bethioua LNG Terminal,liquefaction,Algeria,35.80452,-0.24097,21.7,https://www.gem.wiki/Arzew-Bethioua_LNG_Terminal,35.958556223723015,True,outside_distance_threshold
3471fc29,KAOHSIUNG,TWN,22.4888176673285,120.25481882929786,1,T100000130320,Yung-An LNG Terminal,regasification,Taiwan,22.80928,120.2054,12.3,https://www.gem.wiki/Yung-An_LNG_Terminal,35.992847947571626,True,outside_distance_threshold
