model,target,unit,counterfactual_scenario,interval_family,nominal_coverage,observed_sum,counterfactual_sum,reduction_at_zero_error,claim_threshold,breakdown_dark_rate,breakdown_status,implied_true_total_at_breakdown,implied_unobserved_total_at_breakdown,implied_unobserved_per_post_day,implied_unobserved_share_of_pretreatment_daily_mean,n_post_days
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,split_conformal_block_rank,0.8,529.0,9068.167352282268,0.9416640673413618,0.75,0.7666562693654471,breaks_within_feasible_dark_rate,2267.041838070567,1738.0418380705669,13.369552600542821,0.2632937681665118,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,split_conformal_block_rank,0.8,529.0,9068.167352282268,0.9416640673413618,0.9,0.41664067341361766,breaks_within_feasible_dark_rate,906.8167352282265,377.81673522822655,2.906282578678666,0.05723498118148878,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,split_conformal_block_rank,0.8,529.0,9068.167352282268,0.9416640673413618,0.95,-0.16671865317276335,claim_fails_at_zero_incremental_error,453.4083676141138,-75.59163238588621,-0.5814740952760478,-0.011451281146852132,130
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,point_estimate,point,,27499733.0,318505792.90571,0.9136601794613481,0.5,0.8273203589226964,breaks_within_feasible_dark_rate,159252896.452855,131753163.45285499,1116552.2326513135,0.4720754693149661,118
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,point_estimate,point,,27499733.0,318505792.90571,0.9136601794613481,0.75,0.6546407178453928,breaks_within_feasible_dark_rate,79626448.2264275,52126715.226427495,441751.8239527754,0.18677155758137598,118
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,point_estimate,point,,27499733.0,318505792.90571,0.9136601794613481,0.9,0.13660179461348176,breaks_within_feasible_dark_rate,31850579.290570993,4350846.290570993,36871.57873365248,0.015589210541221912,118
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,point_estimate,point,,27499733.0,318505792.90571,0.9136601794613481,0.95,-0.7267964107730347,claim_fails_at_zero_incremental_error,15925289.645285513,-11574443.354714487,-98088.50300605498,-0.04147157180549604,118
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,bootstrap_block_lower,block_bootstrap_residual,0.95,27499733.0,290459167.82473826,0.9053232397312616,0.5,0.8106464794625232,breaks_within_feasible_dark_rate,145229583.91236913,117729850.91236913,997710.6009522808,0.42182952701340487,118
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,bootstrap_block_lower,block_bootstrap_residual,0.95,27499733.0,290459167.82473826,0.9053232397312616,0.75,0.6212929589250464,breaks_within_feasible_dark_rate,72614791.95618457,45115058.956184566,382331.008103259,0.16164858643059538,118
ar_lag1_7,hormuz_tanker_capacity,deadweight_tonnes,bootstrap_block_lower,block_bootstrap_residual,0.95,27499733.0,290459167.82473826,0.9053232397312616,0.9,0.053232397312615753,breaks_within_feasible_dark_rate,29045916.78247382,1546183.7824738212,13103.252393845942,0.005540022080909677,118
