measure,portname,n_overlap_days,n_changed_rows,pct_changed_rows,mean_july,mean_august,mean_ratio_august_over_july,mean_difference_august_minus_july
capacity_cargo,Lombok Strait,2750,9,0.32727272727272727,2435044.9890909093,2435042.275636364,0.999998885665539,-2.7134545454755425
capacity_cargo,Mona Passage,2750,9,0.32727272727272727,209262.7029090909,209253.7378181818,0.9999571586776599,-8.965090909099672
capacity_cargo,Mindoro Strait,2750,6,0.2181818181818182,2258380.881818182,2258340.654181818,0.9999821873995269,-40.22763636382297
capacity_cargo,Sunda Strait,2750,6,0.2181818181818182,783138.6770909091,783029.742909091,0.9998609005211915,-108.9341818181565
capacity_cargo,Ombai Strait,2750,3,0.1090909090909091,480685.00254545454,480610.1978181818,0.9998443789032806,-74.80472727271263
capacity_cargo,Oresund Strait,2750,3,0.1090909090909091,74003.91818181818,74000.49527272728,0.9999537469207712,-3.4229090909066144
capacity_cargo,Balabac Strait,2750,2,0.07272727272727272,234333.64036363637,234274.7269090909,0.9997485915617833,-58.91345454545808
capacity_cargo,Magellan Strait,2750,2,0.07272727272727272,86975.22363636363,86975.09490909091,0.9999985199546797,-0.1287272727204254
capacity_cargo,Torres Strait,2750,2,0.07272727272727272,152753.93454545454,152753.72509090908,0.999998628810799,-0.20945454546017572
capacity_cargo,Bering Strait,2750,0,0.0,6281.816363636363,6281.816363636363,1.0,0.0
capacity_container,Strait of Hormuz,2750,2220,80.72727272727272,424584.07272727275,361556.89563636365,0.8515554842034926,-63027.1770909091
capacity_container,Taiwan Strait,2750,122,4.4363636363636365,1747898.4265454547,1747721.9923636364,0.9998990592478724,-176.43418181827292
capacity_container,Korea Strait,2750,65,2.3636363636363638,907550.2232727272,907274.8636363636,0.9996965901948979,-275.3596363635734
capacity_container,Malacca Strait,2750,61,2.2181818181818183,1533101.7567272726,1532951.157090909,0.9999017680100472,-150.59963636356406
capacity_container,Gibraltar Strait,2750,44,1.6,1001107.2105454545,1001006.3636363636,0.9998992646261773,-100.84690909087658
capacity_container,Dover Strait,2750,38,1.3818181818181818,905596.7229090909,905591.3556363636,0.9999940732197992,-5.3672727273078635
capacity_container,Bohai Strait,2750,35,1.2727272727272727,412813.55818181817,412779.37745454547,0.9999172005700994,-34.180727272701915
capacity_container,Tsugaru Strait,2750,25,0.9090909090909091,385096.04545454547,385096.0378181818,0.9999999801702361,-0.0076363636762835085
capacity_container,Windward Passage,2750,20,0.7272727272727273,156389.95345454547,156389.94836363636,0.9999999674473392,-0.005090909107821062
capacity_container,Suez Canal,2750,18,0.6545454545454545,740351.737090909,740278.8207272728,0.9999015111872057,-72.91636363626458
capacity_container,Bab el-Mandeb Strait,2750,16,0.5818181818181818,691824.9730909091,691822.3392727273,0.9999961929414458,-2.6338181818136945
capacity_container,Panama Canal,2750,16,0.5818181818181818,256060.8970909091,256042.28218181818,0.9999273028045188,-18.614909090916626
capacity_container,Luzon Strait,2750,14,0.5090909090909091,155744.95927272728,155738.8970909091,0.9999610762245758,-6.06218181818258
capacity_container,Cape of Good Hope,2750,9,0.32727272727272727,529810.86,529699.6767272727,0.9997901453497436,-111.18327272729948
capacity_container,Mona Passage,2750,7,0.2545454545454546,78914.07381818182,78914.072,0.9999999769599803,-0.0018181818159064278
capacity_container,Bosporus Strait,2750,6,0.2181818181818182,69563.31927272727,69563.31927272727,1.0,0.0
capacity_container,Yucatan Channel,2750,6,0.2181818181818182,104476.52654545454,104465.83054545455,0.9998976229364274,-10.695999999996275
capacity_container,Mindoro Strait,2750,4,0.14545454545454545,17080.685818181817,17080.68509090909,0.9999999574213392,-0.0007272727270901669
capacity_container,Ombai Strait,2750,4,0.14545454545454545,23289.262181818183,23289.260727272725,0.9999999375443736,-0.0014545454578183126
capacity_container,Sunda Strait,2750,4,0.14545454545454545,61908.41781818182,61908.41636363637,0.999999976504884,-0.0014545454541803338
capacity_container,Makassar Strait,2750,1,0.03636363636363636,18375.362181818182,18375.361818181816,0.9999999802106558,-0.00036363636536407284
capacity_container,Oresund Strait,2750,1,0.03636363636363636,11972.288727272728,11971.810545454546,0.9999600592811387,-0.478181818181838
capacity_container,Torres Strait,2750,1,0.03636363636363636,31669.778545454545,31669.778181818183,0.9999999885178749,-0.00036363636172609404
capacity_container,Balabac Strait,2750,0,0.0,8944.761818181818,8944.761818181818,1.0,0.0
capacity_container,Bering Strait,2750,0,0.0,821.6614545454545,821.6614545454545,1.0,0.0
capacity_container,Kerch Strait,2750,0,0.0,650.916,650.916,1.0,0.0
capacity_container,Lombok Strait,2750,0,0.0,1006.0127272727273,1006.0127272727273,1.0,0.0
capacity_container,Magellan Strait,2750,0,0.0,5060.078909090909,5060.078909090909,1.0,0.0
capacity_dry_bulk,Strait of Hormuz,2750,2214,80.5090909090909,516059.15454545454,414582.9316363636,0.8033631958365872,-101476.22290909092
capacity_dry_bulk,Bohai Strait,2750,30,1.090909090909091,4465313.327636364,4465205.569818182,0.9999758678036063,-107.75781818199903
capacity_dry_bulk,Malacca Strait,2750,15,0.5454545454545455,2760746.3094545454,2760427.5952727273,0.9998845550637063,-318.714181818068
capacity_dry_bulk,Taiwan Strait,2750,13,0.4727272727272728,2774323.993090909,2773461.8261818183,0.9996892335173405,-862.1669090907089
capacity_dry_bulk,Cape of Good Hope,2750,9,0.32727272727272727,2249605.058181818,2249218.2487272727,0.9998280545053282,-386.8094545453787
capacity_dry_bulk,Gibraltar Strait,2750,9,0.32727272727272727,1185147.0105454545,1185135.6763636363,0.9999904364760512,-11.334181818179786
capacity_dry_bulk,Korea Strait,2750,9,0.32727272727272727,1101393.5367272727,1101275.9167272728,0.9998932080168643,-117.61999999987893
capacity_dry_bulk,Makassar Strait,2750,9,0.32727272727272727,2697503.9825454545,2697302.9207272725,0.9999254637548329,-201.06181818200275
capacity_dry_bulk,Luzon Strait,2750,8,0.2909090909090909,2577960.5505454545,2577565.777818182,0.9998468662651998,-394.7727272724733
capacity_dry_bulk,Mindoro Strait,2750,7,0.2545454545454546,2227948.2898181817,2227910.374181818,0.9999829818149116,-37.91563636343926
capacity_dry_bulk,Suez Canal,2750,7,0.2545454545454546,711204.188,711175.1552727273,0.9999591780704296,-29.03272727271542
capacity_dry_bulk,Dover Strait,2750,6,0.2181818181818182,885213.0229090909,885185.2752727272,0.9999686542836069,-27.747636363608763
capacity_dry_bulk,Lombok Strait,2750,5,0.18181818181818182,2428447.955272727,2428446.041090909,0.9999992117674114,-1.914181818254292
capacity_dry_bulk,Bab el-Mandeb Strait,2750,4,0.14545454545454545,706974.1338181818,706934.0934545455,0.9999433637502123,-40.040363636333495
capacity_dry_bulk,Panama Canal,2750,4,0.14545454545454545,268042.95927272725,268042.95781818184,0.9999999945734616,-0.0014545454178005457
capacity_dry_bulk,Yucatan Channel,2750,3,0.1090909090909091,276529.1,276515.7378181818,0.9999516789306508,-13.362181818170939
capacity_dry_bulk,Balabac Strait,2750,2,0.07272727272727272,220241.204,220184.98363636364,0.9997447327629195,-56.220363636355614
capacity_dry_bulk,Bosporus Strait,2750,2,0.07272727272727272,563117.7490909091,563117.7483636363,0.9999999987084889,-0.0007272728253155947
capacity_dry_bulk,Kerch Strait,2750,2,0.07272727272727272,12399.084,12374.282181818182,0.9979997056087515,-24.801818181818817
capacity_dry_bulk,Mona Passage,2750,2,0.07272727272727272,119974.39854545455,119965.43563636363,0.9999252931525427,-8.962909090914764
capacity_dry_bulk,Ombai Strait,2750,2,0.07272727272727272,453938.82109090907,453867.0618181818,0.9998419186256096,-71.7592727272422
capacity_dry_bulk,Sunda Strait,2750,2,0.07272727272727272,704870.4367272727,704761.3472727273,0.9998452347426402,-109.08945454540662
capacity_dry_bulk,Tsugaru Strait,2750,2,0.07272727272727272,431854.148,431872.228,1.000041865986662,18.080000000016298
capacity_dry_bulk,Windward Passage,2750,2,0.07272727272727272,59828.05490909091,59828.05418181818,0.9999999878439516,-0.0007272727307281457
