date,y_true,posterior_median,lower_95,upper_95
2022-03-03,69.0,60.28137943466435,44.969135809962744,76.52912274770154
2022-03-04,64.0,60.67891297308044,45.548044904865236,77.4218710668513
2022-03-05,57.0,59.694192454383085,44.85364752235534,75.8594571615245
2022-03-06,60.0,59.46254883042411,42.043924609223005,75.0244267835695
2022-03-07,50.0,59.228007775299545,42.27654250671589,74.75371424099907
2022-03-08,66.0,58.53645996957101,42.009449374794606,74.90616472219979
2022-03-09,52.0,59.51563886447968,43.47776008680542,74.30564137539217
2022-03-10,66.0,60.16079929250593,42.704148953423676,76.62493823289387
2022-03-11,62.0,60.19726688415842,45.21004771232463,76.2970020324264
2022-03-12,52.0,59.628587795135346,43.83226598317468,75.36213579241782
2022-03-13,75.0,59.695983038983755,43.850464181459195,76.95598868217408
2022-03-14,64.0,59.085363816221836,42.205110169387254,74.43701866657263
2022-03-15,55.0,59.086687818331846,43.36432873173688,75.06434078242563
2022-03-16,71.0,58.56530068533229,43.06662330370319,75.10402855008505
2022-03-17,42.0,58.99869083492539,42.959575023283286,74.93800449365934
2022-03-18,36.0,58.47375839641795,42.670521778176024,74.29857822498164
2022-03-19,53.0,58.7673293080668,44.128867902431246,74.49355096208201
2022-03-20,58.0,58.68059212887242,42.778880878175265,75.80698485617174
2022-03-21,63.0,59.1373321081353,43.8560124505088,75.76295923717248
2022-03-22,64.0,59.729319378273544,44.14500856095427,75.91087176256859
2022-03-23,71.0,61.40104266206697,46.530211768539544,78.20712961472448
2022-03-24,80.0,62.41153198157228,45.41276287006916,77.79571712439649
2022-03-25,62.0,61.51956081412053,46.350014865439576,77.86820152608738
2022-03-26,65.0,61.09790555743726,45.64445153685871,76.85922101265403
2022-03-27,58.0,60.14661229881019,44.0401567408091,75.32467259413426
2022-03-28,51.0,59.019672665649665,44.58119474208582,75.97567586305547
2022-03-29,44.0,58.76999241855492,42.40866864832999,75.7200731864839
2022-03-30,38.0,60.09647326820168,43.74127050046037,76.64470837970138
2022-03-31,69.0,61.68163037548563,44.94997427087144,78.26597309462663
2022-04-01,73.0,62.48596423176264,46.99179423571319,77.75049083362306
2022-04-02,68.0,62.50548936119335,46.7703100259888,79.066537675045
2022-04-03,71.0,62.430118885063266,45.93793445240849,78.47197730361604
2022-04-04,66.0,62.09082706006306,46.56414891263886,78.74305846486398
2022-04-05,61.0,62.605606598038975,46.47742308797769,78.10827131262238
2022-04-06,69.0,62.359567368309825,46.895489455818144,78.82968800136796
2022-04-07,69.0,62.88706962519001,47.72175211758321,79.27403113456921
2022-04-08,51.0,62.57410726075775,46.458053022967704,77.9998749467199
2022-04-09,62.0,62.34433712912065,45.96524160313576,77.96843811438126
2022-04-10,56.0,61.66991386224221,45.290061851612975,78.13406159365829
2022-04-11,61.0,61.28281480307295,45.24468651911211,76.38740156349428
2022-04-12,66.0,61.740843118337075,46.18438584596411,77.83797331922315
2022-04-13,57.0,62.082932938616864,46.04335094449305,78.60549018985142
2022-04-14,62.0,62.49116826011699,46.79372059109651,77.79147135799799
2022-04-15,71.0,62.506994187773486,47.34692112791462,79.5680817833968
2022-04-16,54.0,61.975871957681605,46.377323057813086,77.57622077089982
2022-04-17,69.0,61.46000057326728,45.9639498178319,77.73278835979856
2022-04-18,61.0,60.98585739307825,44.65633417524352,77.80388243079578
2022-04-19,58.0,61.3832472084745,45.31710580159776,76.46246530262036
2022-04-20,65.0,62.00640624416482,46.189704431281726,77.63806757659334
2022-04-21,51.0,62.72641272297983,46.77796943914554,78.31622966713223
2022-04-22,69.0,62.90388703727136,46.792548441202726,78.19783895943934
2022-04-23,71.0,62.22780238506941,46.095754909924224,77.1408407108015
