origin_rule,horizon_days,block_index,block_name,test_start,test_end,train_start,train_end,n_train_days,n_test_days
forward_anchored_direct,91,3,fwd_03,2023-07-02,2023-09-30,2022-01-01,2023-07-01,547,91
forward_anchored_direct,91,4,fwd_04,2023-10-01,2023-12-30,2022-01-01,2023-09-30,638,91
forward_anchored_direct,91,5,fwd_05,2023-12-31,2024-03-30,2022-01-01,2023-12-30,729,91
forward_anchored_direct,91,6,fwd_06,2024-03-31,2024-06-29,2022-01-01,2024-03-30,820,91
forward_anchored_direct,91,7,fwd_07,2024-06-30,2024-09-28,2022-01-01,2024-06-29,911,91
forward_anchored_direct,91,8,fwd_08,2024-09-29,2024-12-28,2022-01-01,2024-09-28,1002,91
forward_anchored_direct,91,9,fwd_09,2024-12-29,2025-03-29,2022-01-01,2024-12-28,1093,91
forward_anchored_direct,91,10,fwd_10,2025-03-30,2025-06-28,2022-01-01,2025-03-29,1184,91
forward_anchored_direct,91,11,fwd_11,2025-06-29,2025-09-27,2022-01-01,2025-06-28,1275,91
forward_anchored_direct,91,12,fwd_12,2025-09-28,2025-12-27,2022-01-01,2025-09-27,1366,91
forward_anchored_direct,130,1,fwd_01,2023-01-01,2023-05-10,2022-01-01,2022-12-31,365,130
forward_anchored_direct,130,2,fwd_02,2023-05-11,2023-09-17,2022-01-01,2023-05-10,495,130
forward_anchored_direct,130,3,fwd_03,2023-09-18,2024-01-25,2022-01-01,2023-09-17,625,130
forward_anchored_direct,130,4,fwd_04,2024-01-26,2024-06-03,2022-01-01,2024-01-25,755,130
forward_anchored_direct,130,5,fwd_05,2024-06-04,2024-10-11,2022-01-01,2024-06-03,885,130
forward_anchored_direct,130,6,fwd_06,2024-10-12,2025-02-18,2022-01-01,2024-10-11,1015,130
forward_anchored_direct,130,7,fwd_07,2025-02-19,2025-06-28,2022-01-01,2025-02-18,1145,130
forward_anchored_direct,130,8,fwd_08,2025-06-29,2025-11-05,2022-01-01,2025-06-28,1275,130
legacy_greedy_step30,30,1,legacy_01,2023-01-01,2023-01-30,2022-01-01,2022-12-31,365,30
legacy_greedy_step30,30,2,legacy_02,2023-01-31,2023-03-01,2022-01-01,2023-01-30,395,30
legacy_greedy_step30,30,3,legacy_03,2023-03-02,2023-03-31,2022-01-01,2023-03-01,425,30
legacy_greedy_step30,30,4,legacy_04,2023-04-01,2023-04-30,2022-01-01,2023-03-31,455,30
legacy_greedy_step30,30,5,legacy_05,2023-05-01,2023-05-30,2022-01-01,2023-04-30,485,30
legacy_greedy_step30,30,6,legacy_06,2023-05-31,2023-06-29,2022-01-01,2023-05-30,515,30
legacy_greedy_step30,30,7,legacy_07,2023-06-30,2023-07-29,2022-01-01,2023-06-29,545,30
legacy_greedy_step30,30,8,legacy_08,2023-07-30,2023-08-28,2022-01-01,2023-07-29,575,30
legacy_greedy_step30,30,9,legacy_09,2023-08-29,2023-09-27,2022-01-01,2023-08-28,605,30
legacy_greedy_step30,30,10,legacy_10,2023-09-28,2023-10-27,2022-01-01,2023-09-27,635,30
legacy_greedy_step30,30,11,legacy_11,2023-10-28,2023-11-26,2022-01-01,2023-10-27,665,30
legacy_greedy_step30,30,12,legacy_12,2023-11-27,2023-12-26,2022-01-01,2023-11-26,695,30
legacy_greedy_step30,30,13,legacy_13,2023-12-27,2024-01-25,2022-01-01,2023-12-26,725,30
legacy_greedy_step30,30,14,legacy_14,2024-01-26,2024-02-24,2022-01-01,2024-01-25,755,30
legacy_greedy_step30,30,15,legacy_15,2024-02-25,2024-03-25,2022-01-01,2024-02-24,785,30
legacy_greedy_step30,30,16,legacy_16,2024-03-26,2024-04-24,2022-01-01,2024-03-25,815,30
legacy_greedy_step30,30,17,legacy_17,2024-04-25,2024-05-24,2022-01-01,2024-04-24,845,30
legacy_greedy_step30,30,18,legacy_18,2024-05-25,2024-06-23,2022-01-01,2024-05-24,875,30
legacy_greedy_step30,30,19,legacy_19,2024-06-24,2024-07-23,2022-01-01,2024-06-23,905,30
legacy_greedy_step30,30,20,legacy_20,2024-07-24,2024-08-22,2022-01-01,2024-07-23,935,30
legacy_greedy_step30,30,21,legacy_21,2024-08-23,2024-09-21,2022-01-01,2024-08-22,965,30
legacy_greedy_step30,30,22,legacy_22,2024-09-22,2024-10-21,2022-01-01,2024-09-21,995,30
