model,target,unit,counterfactual_scenario,counterfactual_sum,observed_sum,dark_rate,false_positive_rate,implied_true_total,true_reduction,reduction_attributable_to_observability
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.2,0.0,661.25,0.88455477615583,0.023089044768834
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.2,0.05,628.1874999999999,0.8903270373480385,0.017316783576625472
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.2,0.1,595.125,0.896099298540247,0.011544522384417055
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.2,0.2,529.0,0.907643820924664,0.0
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.3,0.0,755.7142857142858,0.8680626013209486,0.03958121960371541
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.3,0.05,717.9285714285714,0.8746594712549012,0.032984349669762825
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.3,0.1,680.1428571428572,0.8812563411888537,0.02638747973581035
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.3,0.2,604.5714285714287,0.8944500810567588,0.013193739867905174
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.4,0.0,881.6666666666667,0.84607303487444,0.061570786050224036
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.4,0.05,837.5833333333333,0.853769383130718,0.05387443779394596
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.4,0.1,793.5000000000001,0.861465731386996,0.046178089537668
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.4,0.2,705.3333333333335,0.8768584278995519,0.030785393025112073
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.5,0.0,1058.0,0.815287641849328,0.092356179075336
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.5,0.05,1005.0999999999999,0.8245232597568616,0.08312056116780242
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.5,0.1,952.2,0.8337588776643952,0.07388494326026884
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.5,0.2,846.4000000000001,0.8522301134794623,0.05541370744520169
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.7,0.0,1763.333333333333,0.69214606974888,0.21549775117578396
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.7,0.05,1675.1666666666663,0.7075387662614361,0.20010505466322792
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.7,0.1,1586.9999999999998,0.722931462773992,0.184712358150672
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.7,0.2,1410.6666666666665,0.7537168557991041,0.15392696512555992
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.9,0.0,5290.000000000001,0.0764382092466398,0.8312056116780242
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.9,0.05,5025.500000000001,0.1226162987843078,0.7850275221403562
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.9,0.1,4761.000000000001,0.1687943883219758,0.7388494326026882
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.9,0.2,4232.000000000002,0.2611505673973117,0.6464932535273523
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.0,0.0,529.0,0.9416640673413618,0.0
