value_col,slug,is_treated,train_start,train_end,test_start,test_end,normalized_throughput_loss,n_days,observed_sum,counterfactual_sum,cumulative_gap_observed_minus_predicted,cumulative_throughput_loss,mean_daily_throughput_loss,portname,contamination_flag,contamination_note
capacity_tanker,korea_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.2785116499093805,94,68237496.0,53372604.0,14864892.0,-14864892.0,-158137.1489361702,Korea Strait,False,
capacity_tanker,lombok_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.521386221197646,94,15237643.0,10015631.0,5222012.0,-5222012.0,-55553.31914893617,Lombok Strait,False,
capacity_tanker,luzon_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.23958972605769444,94,100152857.0,131708974.0,-31556117.0,31556117.0,335703.37234042556,Luzon Strait,False,
capacity_tanker,magellan_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.29038612378021783,79,3036916.0,2353494.0,683422.0,-683422.0,-8650.911392405063,Magellan Strait,False,
capacity_tanker,makassar_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-1.3697615467633546,88,5684866.0,2398919.0,3285947.0,-3285947.0,-37340.306818181816,Makassar Strait,False,
capacity_tanker,malacca_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.36988850776631055,94,224155878.0,355740025.0,-131584147.0,131584147.0,1399831.3510638298,Malacca Strait,False,
capacity_tanker,mindoro_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.3289154009247488,83,5585260.0,4202871.0,1382389.0,-1382389.0,-16655.289156626506,Mindoro Strait,False,
capacity_tanker,mona_passage,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.1131764754432506,75,5988354.0,5379519.0,608835.0,-608835.0,-8117.8,Mona Passage,False,
capacity_tanker,ombai_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.2802141456249777,73,6384394.0,8869852.0,-2485458.0,2485458.0,34047.3698630137,Ombai Strait,False,
capacity_tanker,oresund_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.042596508185827345,93,2377185.0,2482950.0,-105765.0,105765.0,1137.258064516129,Oresund Strait,False,
capacity_tanker,panama_canal,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.1465367773195729,94,35952128.0,31357152.0,4594976.0,-4594976.0,-48882.72340425532,Panama Canal,True,Potential rerouting / Atlantic-Pacific LNG arbitrage channel.
capacity_tanker,strait_of_hormuz,True,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.9515137827294508,79,10471408.0,215966693.0,-205495285.0,205495285.0,2601206.139240506,Strait of Hormuz,False,
capacity_tanker,suez_canal,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.1067009633085519,94,56417922.0,63156815.0,-6738893.0,6738893.0,71690.35106382979,Suez Canal,True,Potential rerouting / Red Sea disruption exposure.
capacity_tanker,sunda_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.16829415152679994,94,28213639.0,24149431.0,4064208.0,-4064208.0,-43236.255319148935,Sunda Strait,False,
capacity_tanker,taiwan_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.029478243748769443,94,65559424.0,67550700.0,-1991276.0,1991276.0,21183.787234042553,Taiwan Strait,False,
capacity_tanker,torres_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.23168560082186285,78,3438734.0,4475686.0,-1036952.0,1036952.0,13294.25641025641,Torres Strait,False,
capacity_tanker,tsugaru_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.01858372597660774,94,17192888.0,17518446.0,-325558.0,325558.0,3463.3829787234044,Tsugaru Strait,False,
capacity_tanker,windward_passage,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.08075684749706588,62,3063239.0,3332349.0,-269110.0,269110.0,4340.4838709677415,Windward Passage,False,
capacity_tanker,yucatan_channel,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.17342978930391134,94,86594934.0,73796434.0,12798500.0,-12798500.0,-136154.25531914894,Yucatan Channel,False,
