model,horizon_days,form,unit,episodes,censored_episodes,episode_days,eligible_days,exposure_years,episodes_per_year,mean_episode_days
global_ridge,7,raw_level,makassar_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,malacca_strait,25,1,331,1429,3.912388774811773,6.389958012596221,13.24
global_ridge,7,raw_level,mindoro_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,mona_passage,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,ombai_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,oresund_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,panama_canal,0,0,0,1274,3.488021902806297,0.0,0.0
global_ridge,7,raw_level,suez_canal,0,0,0,1070,2.9295003422313486,0.0,0.0
global_ridge,7,raw_level,sunda_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,taiwan_strait,41,1,497,1429,3.912388774811773,10.479531140657802,12.121951219512194
global_ridge,7,raw_level,torres_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,tsugaru_strait,15,0,79,1429,3.912388774811773,3.8339748075577327,5.266666666666667
global_ridge,7,raw_level,windward_passage,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,yucatan_channel,4,0,22,1429,3.912388774811773,1.0223932820153954,5.5
global_ridge,7,scale_invariant,bab_el_mandeb_strait,1,0,2,1077,2.948665297741273,0.33913649025069637,2.0
global_ridge,7,scale_invariant,balabac_strait,13,0,103,1429,3.912388774811773,3.3227781665500347,7.923076923076923
global_ridge,7,scale_invariant,bering_strait,3,0,60,1429,3.912388774811773,0.7667949615115465,20.0
global_ridge,7,scale_invariant,bohai_strait,10,0,36,1429,3.912388774811773,2.5559832050384883,3.6
global_ridge,7,scale_invariant,bosporus_strait,16,0,62,1429,3.912388774811773,4.0895731280615815,3.875
global_ridge,7,scale_invariant,cape_of_good_hope,9,0,29,1429,3.912388774811773,2.3003848845346395,3.2222222222222223
global_ridge,7,scale_invariant,dover_strait,1,0,7,1429,3.912388774811773,0.25559832050384884,7.0
global_ridge,7,scale_invariant,gibraltar_strait,3,0,6,1429,3.912388774811773,0.7667949615115465,2.0
global_ridge,7,scale_invariant,kerch_strait,3,0,32,419,1.1471594798083504,2.6151551312649164,10.666666666666666
global_ridge,7,scale_invariant,korea_strait,10,0,82,1429,3.912388774811773,2.5559832050384883,8.2
global_ridge,7,scale_invariant,lombok_strait,2,0,8,1429,3.912388774811773,0.5111966410076977,4.0
global_ridge,7,scale_invariant,luzon_strait,14,0,63,1429,3.912388774811773,3.5783764870538834,4.5
global_ridge,7,scale_invariant,magellan_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,scale_invariant,makassar_strait,13,1,116,1429,3.912388774811773,3.3227781665500347,8.923076923076923
global_ridge,7,scale_invariant,malacca_strait,2,0,6,1429,3.912388774811773,0.5111966410076977,3.0
global_ridge,7,scale_invariant,mindoro_strait,14,0,163,1429,3.912388774811773,3.5783764870538834,11.642857142857142
