date,fold,step,y_true,y_pred,sigma,lower,upper,model
2024-05-30,fold_18,6,2298960.0,2944135.5046068667,647648.8600450323,1674767.064290181,4213503.944923552,ar_lag1_7
2024-05-31,fold_18,7,2937321.0,2993440.5696780975,620977.1091884233,1776347.8004449909,4210533.338911204,ar_lag1_7
2024-06-01,fold_18,8,2949978.0,2946798.9776028916,605221.1022949781,1760587.4144211025,4133010.5407846803,ar_lag1_7
2024-06-02,fold_18,9,3819433.0,2892155.740334179,729378.8587617086,1462599.4460763028,4321712.034592054,ar_lag1_7
2024-06-03,fold_18,10,3305514.0,2831875.949604224,609478.8470069409,1637319.3601316218,4026432.539076825,ar_lag1_7
2024-06-04,fold_18,11,2757464.0,2820829.020346544,925162.9085371661,1007543.0397813742,4634115.000911713,ar_lag1_7
2024-06-05,fold_18,12,3718289.0,2862086.5546056097,665211.0445964952,1558296.865078211,4165876.2441330077,ar_lag1_7
2024-06-06,fold_18,13,2831533.0,2929630.6871436452,650151.9106512626,1655356.357787267,4203905.016500022,ar_lag1_7
2024-06-07,fold_18,14,2162511.0,2969618.4559984,743676.6181558296,1512039.0682684279,4427197.843728372,ar_lag1_7
2024-06-08,fold_18,15,3482432.0,2951248.93476092,709878.494289187,1559912.6525545905,4342585.216967248,ar_lag1_7
2024-06-09,fold_18,16,3005027.0,2890844.8686603913,621139.751559901,1673433.3262368282,4108256.4110839535,ar_lag1_7
2024-06-10,fold_18,17,2293467.0,2831929.6446827287,470005.2062102602,1910736.367964297,3753122.92140116,ar_lag1_7
2024-06-11,fold_18,18,2416437.0,2819438.452652449,539861.3494761719,1761329.65103396,3877547.254270937,ar_lag1_7
2024-06-12,fold_18,19,2528388.0,2862496.172577273,906952.6755004211,1084901.5929142048,4640090.75224034,ar_lag1_7
2024-06-13,fold_18,20,2530094.0,2928932.050041994,706950.2159790074,1543335.0878603265,4314529.012223661,ar_lag1_7
2024-06-14,fold_18,21,3195143.0,2968563.57578504,679523.4701175493,1636722.0477049632,4300405.103865116,ar_lag1_7
2024-06-15,fold_18,22,2856459.0,2951525.9686853765,623117.3773426688,1730238.3509526907,4172813.5864180615,ar_lag1_7
2024-06-16,fold_18,23,3201074.0,2890765.5345908618,689449.3625767769,1539469.6147762814,4242061.454405441,ar_lag1_7
2024-06-17,fold_18,24,2789988.0,2831937.481639792,338831.58215051814,2167839.783800052,3496035.179479532,ar_lag1_7
2024-06-18,fold_18,25,2307061.0,2819373.595661206,837144.9755800599,1178599.5936856254,4460147.597636785,ar_lag1_7
2024-06-19,fold_18,26,3484977.0,2862519.49783581,626454.8784143577,1634690.4982042501,4090348.497467369,ar_lag1_7
2024-06-20,fold_18,27,2109837.0,2928898.156966782,717892.1476594167,1521855.4027702147,4335940.911163349,ar_lag1_7
2024-06-21,fold_18,28,2484320.0,2968517.063526459,519524.5719890719,1950267.6133442912,3986766.513708626,ar_lag1_7
2024-06-22,fold_18,29,2110371.0,2951541.922758697,755002.0331081353,1471765.129612234,4431318.71590516,ar_lag1_7
2024-06-23,fold_18,30,2462698.0,2890760.7880779915,417388.84323055897,2072693.687797261,3708827.8883587215,ar_lag1_7
2024-06-24,fold_19,1,3070777.0,2863337.256465387,714375.3717591161,1463187.2563751072,4263487.256555666,ar_lag1_7
2024-06-25,fold_19,2,2945341.0,2799326.8525602715,547148.1375622929,1726936.20873001,3871717.4963905322,ar_lag1_7
2024-06-26,fold_19,3,2156287.0,2888312.2384736245,583592.6050253967,1744491.7509799378,4032132.7259673104,ar_lag1_7
2024-06-27,fold_19,4,3004278.0,2883800.7789710658,865967.8413255259,1186534.9982031384,4581066.559738992,ar_lag1_7
2024-06-28,fold_19,5,3099738.0,2940417.268300942,771227.7052167638,1428838.7421966114,4451995.794405272,ar_lag1_7
2024-06-29,fold_19,6,2223789.0,2911009.5223311777,656450.3794877625,1624390.420897512,4197628.623764843,ar_lag1_7
2024-06-30,fold_19,7,3212570.0,2875517.4054664588,602627.9456287021,1694388.3359568405,4056646.474976076,ar_lag1_7
2024-07-01,fold_19,8,1833851.0,2839250.9502564725,587922.1909525273,1686944.630277638,3991557.2702353057,ar_lag1_7
2024-07-02,fold_19,9,3067529.0,2821917.4418334085,745886.0417044263,1360007.663521592,4283827.220145224,ar_lag1_7
2024-07-03,fold_19,10,2795147.0,2861366.04781986,603617.8039439118,1678296.891662633,4044435.2039770856,ar_lag1_7
2024-07-04,fold_19,11,2121006.0,2918598.63211324,897694.6158894644,1159149.515854372,4678047.748372108,ar_lag1_7
2024-07-05,fold_19,12,2406899.0,2957582.683292546,689123.4087604983,1606925.6212184948,4308239.745366596,ar_lag1_7
2024-07-06,fold_19,13,3279610.0,2944037.3334765313,632224.02798425,1704901.0084665578,4183173.658486504,ar_lag1_7
2024-07-07,fold_19,14,3524340.0,2890953.0510585587,743292.4552414342,1434126.6088049973,4347779.4933121195,ar_lag1_7
2024-07-08,fold_19,15,2078512.0,2837205.681835849,716594.9118946482,1432705.4630176849,4241705.900654012,ar_lag1_7
2024-07-09,fold_19,16,3953301.0,2823016.1132533606,602606.3826703086,1641929.3063655938,4004102.920141127,ar_lag1_7
2024-07-10,fold_19,17,2435847.0,2860143.9493448865,483014.8535902959,1913452.232310019,3806835.666379753,ar_lag1_7
2024-07-11,fold_19,18,2983250.0,2920163.861106191,527264.9385697785,1886743.571198701,3953584.1510136803,ar_lag1_7
2024-07-12,fold_19,19,2988283.0,2958211.860363621,884478.4012921653,1224666.0487274113,4691757.671999829,ar_lag1_7
2024-07-13,fold_19,20,2945223.0,2945404.9948571213,692785.4391430203,1587570.4851230357,4303239.504591206,ar_lag1_7
2024-07-14,fold_19,21,3161056.0,2891521.4519881234,665564.3954405725,1587039.2075324263,4196003.696443819,ar_lag1_7
2024-07-15,fold_19,22,2560556.0,2837080.9471507664,605826.6796097223,1649682.474242224,4024479.420059308,ar_lag1_7
2024-07-16,fold_19,23,2316692.0,2823071.211710884,681615.8693793915,1487128.6564363183,4159013.7669854485,ar_lag1_7
2024-07-17,fold_19,24,4240064.0,2860088.1757158153,348632.3647108549,2176781.2970375065,3543395.0543941236,ar_lag1_7
2024-07-18,fold_19,25,2268837.0,2920234.3190073157,850787.7992710706,1252720.873949924,4587747.764064706,ar_lag1_7
2024-07-19,fold_19,26,3248679.0,2958234.059332077,661968.879113293,1660798.8973836736,4255669.22128048,ar_lag1_7
2024-07-20,fold_19,27,1655505.0,2945461.8830134124,715276.3196953464,1543546.0574161753,4347377.708610648,ar_lag1_7
2024-07-21,fold_19,28,4034829.0,2891541.9525322784,505786.5241204511,1900218.5813904945,3882865.3236740613,ar_lag1_7
2024-07-22,fold_19,29,1990716.0,2837074.2737794253,751331.3835153651,1364491.8216346586,4309656.725924191,ar_lag1_7
2024-07-23,fold_19,30,3543176.0,2823074.002454681,422050.50533870404,1995870.212333891,3650277.79257547,ar_lag1_7
2024-07-24,fold_20,1,2655814.0,2859717.0995156956,701868.5344326439,1484080.0501458023,4235354.148885588,ar_lag1_7
2024-07-25,fold_20,2,3806757.0,2889199.0249813693,536159.258421448,1838346.1884976274,3940051.8614651104,ar_lag1_7
2024-07-26,fold_20,3,2414648.0,2967857.8175202757,593528.6451691687,1804563.0491958517,4131152.5858446993,ar_lag1_7
2024-07-27,fold_20,4,3003871.0,2886193.191917313,842987.2002528392,1233968.6399934932,4538417.743841131,ar_lag1_7
2024-07-28,fold_20,5,2672859.0,2943519.948916736,752673.2033560373,1468307.5782105105,4418732.319622961,ar_lag1_7
2024-07-29,fold_20,6,2901690.0,2798653.8064724,664078.8248348235,1497083.2269004628,4100224.386044337,ar_lag1_7
2024-07-30,fold_20,7,2356111.0,2858343.7667073575,594841.4047564366,1692476.0368715287,4024211.496543186,ar_lag1_7
2024-07-31,fold_20,8,1678450.0,2856730.6857537674,606585.3584502393,1667845.229641979,4045616.1418655547,ar_lag1_7
2024-08-01,fold_20,9,2628665.0,2915630.355182223,727388.1792781403,1489975.7210169036,4341284.989347542,ar_lag1_7
2024-08-02,fold_20,10,2335400.0,2953868.324885927,586738.8152325407,1803881.3786984459,4103855.2710734075,ar_lag1_7
2024-08-03,fold_20,11,3356709.0,2939279.371737916,891546.795291345,1191879.7624347752,4686678.981041055,ar_lag1_7
2024-08-04,fold_20,12,1970297.0,2893161.6345491377,677219.0290500647,1565836.727965826,4220486.541132448,ar_lag1_7
2024-08-05,fold_20,13,1904556.0,2836828.6234382032,617304.2947681189,1626934.4381907927,4046722.808685613,ar_lag1_7
2024-08-06,fold_20,14,2852325.0,2826349.7887923727,741208.0089534539,1373608.7861909608,4279090.791393783,ar_lag1_7
2024-08-07,fold_20,15,3201996.0,2859187.5776112196,705651.5854356505,1476135.8845237552,4242239.270698683,ar_lag1_7
2024-08-08,fold_20,16,2948873.0,2916547.8715168447,629016.9033373927,1683697.3953086422,4149398.3477250463,ar_lag1_7
2024-08-09,fold_20,17,3039807.0,2953203.6474709883,484574.53563102195,2003455.009808964,3902952.285133012,ar_lag1_7
2024-08-10,fold_20,18,3402658.0,2941574.20702119,514940.7079734828,1932308.965219606,3950839.448822773,ar_lag1_7
2024-08-11,fold_20,19,2282031.0,2890850.355732304,859558.7771575822,1206146.1099081524,4575554.601556455,ar_lag1_7
