period,destination_unit,destination_unit_type,unit_of_measure,measurement_basis,portfolio_js_distance,portfolio_js_zscore,portfolio_js_robust_zscore,pre_empirical_tail_p,pre_empirical_percentile,post_treatment,pre_calibration_months,coverage_note,admissibility_note
2025-01,China,importer,t,weight_ton,0.18140149187642815,1.0176119186068726,0.8129405387258967,0.3076923076923077,0.75,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-02,China,importer,t,weight_ton,0.18461782033068252,1.1498422038520257,0.9070718879340846,0.15384615384615385,0.9166666666666666,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-03,China,importer,t,weight_ton,0.17921174635883583,0.9275866993160605,0.7488538936816385,0.38461538461538464,0.75,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-04,China,importer,t,weight_ton,0.18625727753999774,1.2172438692970524,0.9550534051444305,0.15384615384615385,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-05,China,importer,t,weight_ton,0.15149958153060505,-0.21172090316173195,-0.06218997259718268,0.6153846153846154,0.5,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-06,China,importer,t,weight_ton,0.1741299215828937,0.7186617871853143,0.6001256063183614,0.46153846153846156,0.6666666666666666,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-07,China,importer,t,weight_ton,0.15094099388827212,-0.23468566075121292,-0.07853799462654644,0.6923076923076923,0.4166666666666667,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-08,China,importer,t,weight_ton,0.11590287538737111,-1.675179214106816,-1.1039884158493949,1.0,0.08333333333333333,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-09,China,importer,t,weight_ton,0.12228247255626921,-1.4129000453618659,-0.9172786013965889,0.9230769230769231,0.16666666666666666,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-10,China,importer,t,weight_ton,0.18150970656045662,1.0220608605418515,0.8161076264026118,0.3076923076923077,0.8333333333333334,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-11,China,importer,t,weight_ton,0.1407675303813262,-0.6529389581329555,-0.37628179152091173,0.7692307692307693,0.3333333333333333,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2025-12,China,importer,t,weight_ton,0.15574945960238815,-0.03699913650084635,0.062189972597181876,0.5384615384615384,0.5833333333333334,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2026-01,China,importer,t,weight_ton,0.13828420213372838,-0.7550340044591024,-0.4489606369180551,0.8461538461538461,0.25,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2026-02,China,importer,t,weight_ton,0.18325721398217562,1.0939047061342615,0.8672514177464798,0.23076923076923078,0.9166666666666666,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2026-03,China,importer,t,weight_ton,0.17770936731373418,0.8658206164965789,0.704884203225907,0.38461538461538464,0.6666666666666666,True,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2026-04,China,importer,t,weight_ton,0.4015547615097122,10.068593513087995,7.2561022362706185,0.07692307692307693,1.0,True,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2026-05,China,importer,t,weight_ton,0.3754384679284296,8.994895661977283,6.491764269521144,0.07692307692307693,1.0,True,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2014-01,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5368796888262853,16.628453554200757,14.725973301942119,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-02,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5616104023340964,17.655769714192495,15.622689182225049,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-03,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5290351402616064,16.30259027064489,14.44153624882691,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-04,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5210078253885404,15.969134857486754,14.15047223563392,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-05,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5766480917136002,18.280436742243307,16.167943764754742,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-06,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5459195335089023,17.003969550669463,15.053750835721464,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-07,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5249009747261645,16.13085664632795,14.291634715004271,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-08,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5379513155538421,16.672969029031293,14.764829629481245,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-09,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5529374468766644,17.295494330569035,15.308214758136579,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-10,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5427547346368239,16.872503508519774,14.938997761347046,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-11,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5294026955113356,16.317858550212215,14.454863508034753,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2014-12,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5765996753238892,18.27842552087103,16.16618822521052,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-01,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.543613421519889,16.908173442226584,14.970133060536533,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-02,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5359324323859755,16.58910443277411,14.691626541487441,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-03,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5234153095139844,16.06914197399033,14.237765683359672,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-04,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5274127630579789,16.23519656935268,14.382710149780385,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
