date,target,unit,corridor,portname,basin_group,value,is_pre_cutoff,eligible_for_admission
2022-03-23,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,623403.0,True,True
2022-03-24,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,837716.0,True,True
2022-03-25,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,570495.0,True,True
2022-03-26,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,738648.0,True,True
2022-03-27,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,717457.0,True,True
2022-03-28,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,922029.0,True,True
2022-03-29,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1393024.0,True,True
2022-03-30,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1156727.0,True,True
2022-03-31,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,994375.0,True,True
2022-04-01,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1161497.0,True,True
2022-04-02,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1257431.0,True,True
2022-04-03,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,940247.0,True,True
2022-04-04,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,708255.0,True,True
2022-04-05,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1414046.0,True,True
2022-04-06,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1085248.0,True,True
2022-04-07,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1082225.0,True,True
2022-04-08,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,528846.0,True,True
2022-04-09,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,763368.0,True,True
2022-04-10,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1444478.0,True,True
