onset_label,guard_days,pseudo_onset,recovered_fraction
register_onset,90,2021-05-25,-1.2041110893456224
register_onset,90,2021-05-26,-1.122516195759521
register_onset,90,2021-05-27,-2.213860405977362
register_onset,90,2021-05-28,-3.1899845717682314
register_onset,90,2021-05-29,-5.682126821958819
register_onset,90,2021-05-30,-4.919427311546132
register_onset,90,2021-05-31,-1.9387466175990276
register_onset,90,2021-06-01,-3.0171127878705497
register_onset,90,2021-06-02,-3.8271786479638616
register_onset,90,2021-06-03,-1.8667257977129326
register_onset,90,2021-06-04,-2.2121647287179034
register_onset,90,2021-06-05,-15.791724236379043
register_onset,90,2021-06-06,-3.7898719204129003
register_onset,90,2021-06-07,-3.7781022242343583
register_onset,90,2021-06-08,-4.186179410434308
register_onset,90,2021-06-14,-12.294310063342193
register_onset,90,2021-06-25,-1.506604867765617
register_onset,90,2021-06-26,-0.31538985902416494
register_onset,90,2021-06-27,-0.6143522264059902
register_onset,90,2021-06-28,-0.6877508858051424
register_onset,90,2021-06-29,-1.5334736575214523
register_onset,90,2021-06-30,-0.8548032368019911
register_onset,90,2021-07-01,-0.3917742153317172
register_onset,90,2021-07-02,-0.05197833699782631
register_onset,90,2021-07-03,0.06658189684728104
register_onset,90,2021-07-04,-0.02912121661818669
register_onset,90,2021-07-05,1.5735782057756582
register_onset,90,2021-07-06,3.646536263786922
register_onset,90,2021-07-08,1.0744594522146038
register_onset,90,2021-07-09,2.510279183342639
register_onset,90,2021-07-14,243.4346094060722
register_onset,90,2021-09-08,-6.607422642649754
register_onset,90,2021-09-09,-14.326619619492854
register_onset,90,2021-09-24,-4.447275523743989
register_onset,90,2021-09-25,-2.184470378409533
register_onset,90,2021-09-26,-1.2016952704992176
register_onset,90,2021-09-27,-1.041935008027463
register_onset,90,2021-09-28,-1.4498574866372875
register_onset,90,2021-09-29,-1.3008760448641659
register_onset,90,2021-09-30,-1.2988448434114446
register_onset,90,2021-10-01,-1.5348109387635112
register_onset,90,2021-10-02,-1.4818880305751194
register_onset,90,2021-10-03,-1.7766878803354302
register_onset,90,2021-10-04,-1.3280120926308947
register_onset,90,2021-10-05,-0.7654279107191864
register_onset,90,2021-10-06,-1.0174409208129738
register_onset,90,2021-10-07,-0.93774329275206
register_onset,90,2021-10-08,-1.6508653737268555
register_onset,90,2021-10-09,-1.5939967680372649
register_onset,90,2021-10-10,-1.8677865947344099
register_onset,90,2021-10-11,-1.0793934221426378
register_onset,90,2021-10-12,-1.5213306369489739
register_onset,90,2021-10-13,-1.1567783229672015
register_onset,90,2021-10-14,-0.561313351889894
register_onset,90,2021-10-15,-0.7392434766100772
register_onset,90,2021-10-16,-0.6642629075776474
register_onset,90,2021-10-17,-0.6556928820266
register_onset,90,2021-10-18,-0.6092394810026522
register_onset,90,2021-10-19,-0.7535018058904605
register_onset,90,2021-10-20,-0.36263631172032135
register_onset,90,2021-10-21,-0.684357456434554
register_onset,90,2021-10-22,-0.28816659682787443
register_onset,90,2021-10-23,-3.2467512505665095
register_onset,90,2021-10-25,-2.910557819645287
