unit,date,july_outcome,august_outcome,proportional_component,residual_revision,pre_surveillance
strait_of_hormuz,2019-01-26,47.0,38.0,39.10330642622824,-1.1033064262282366,True
strait_of_hormuz,2019-01-27,44.0,40.0,36.60735069689452,3.392649303105479,True
strait_of_hormuz,2019-01-28,35.0,32.0,29.119483508893367,2.8805164911066328,True
strait_of_hormuz,2019-01-29,38.0,32.0,31.615439238227086,0.38456076177291365,True
strait_of_hormuz,2019-01-30,44.0,36.0,36.60735069689452,-0.607350696894521,True
strait_of_hormuz,2019-01-31,32.0,28.0,26.62352777955965,1.3764722204403483,True
strait_of_hormuz,2019-02-01,39.0,33.0,32.447424481338324,0.5525755186616763,True
strait_of_hormuz,2019-02-02,40.0,32.0,33.279409724449565,-1.2794097244495646,True
strait_of_hormuz,2019-02-03,42.0,39.0,34.943380210672046,4.056619789327954,True
strait_of_hormuz,2019-02-04,38.0,35.0,31.615439238227086,3.3845607617729137,True
strait_of_hormuz,2019-02-05,35.0,29.0,29.119483508893367,-0.11948350889336723,True
strait_of_hormuz,2019-02-06,36.0,29.0,29.951468752004608,-0.9514687520046081,True
strait_of_hormuz,2019-02-07,39.0,35.0,32.447424481338324,2.5525755186616763,True
strait_of_hormuz,2019-02-08,45.0,33.0,37.43933594000576,-4.439335940005762,True
strait_of_hormuz,2019-02-09,50.0,40.0,41.59926215556196,-1.5992621555619593,True
strait_of_hormuz,2019-02-10,45.0,39.0,37.43933594000576,1.560664059994238,True
strait_of_hormuz,2019-02-11,30.0,26.0,24.959557293337173,1.0404427066628266,True
strait_of_hormuz,2019-02-12,36.0,30.0,29.951468752004608,0.04853124799539188,True
strait_of_hormuz,2019-02-13,40.0,26.0,33.279409724449565,-7.279409724449565,True
strait_of_hormuz,2019-02-14,44.0,39.0,36.60735069689452,2.392649303105479,True
strait_of_hormuz,2019-02-15,40.0,36.0,33.279409724449565,2.7205902755504354,True
strait_of_hormuz,2019-02-16,47.0,40.0,39.10330642622824,0.8966935737717634,True
strait_of_hormuz,2019-02-17,34.0,26.0,28.28749826578213,-2.28749826578213,True
strait_of_hormuz,2019-02-18,47.0,43.0,39.10330642622824,3.8966935737717634,True
strait_of_hormuz,2019-02-19,38.0,24.0,31.615439238227086,-7.615439238227086,True
strait_of_hormuz,2019-02-20,46.0,37.0,38.271321183116996,-1.2713211831169957,True
strait_of_hormuz,2019-02-21,53.0,42.0,44.095217884895675,-2.095217884895675,True
strait_of_hormuz,2019-02-22,51.0,44.0,42.43124739867319,1.568752601326807,True
strait_of_hormuz,2019-02-23,56.0,45.0,46.59117361422939,-1.5911736142293904,True
strait_of_hormuz,2019-02-24,45.0,41.0,37.43933594000576,3.560664059994238,True
strait_of_hormuz,2019-02-25,34.0,27.0,28.28749826578213,-1.28749826578213,True
strait_of_hormuz,2019-02-26,33.0,27.0,27.455513022670893,-0.45551302267089255,True
strait_of_hormuz,2019-02-27,30.0,25.0,24.959557293337173,0.040442706662826566,True
strait_of_hormuz,2019-02-28,38.0,33.0,31.615439238227086,1.3845607617729137,True
strait_of_hormuz,2019-03-01,55.0,39.0,45.75918837111815,-6.7591883711181495,True
strait_of_hormuz,2019-03-02,40.0,33.0,33.279409724449565,-0.2794097244495646,True
strait_of_hormuz,2019-03-03,48.0,45.0,39.93529166933948,5.0647083306605225,True
