imo,sample_period,event_id,project_id,terminal_name,terminal_lat,terminal_lon,end,destination_event_id,destination_project_id,destination_terminal_name,destination_terminal_lat,destination_terminal_lon,destination_start,destination_terminal_role,endpoint_status
9397353,pre,83236a97c9322aa485119c1ac88fd536,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-18 10:42:05+00:00,0084cb96aca2aeb8c8e0fa9e64f01f76,T100000130455,Mundra LNG Terminal,22.7374322,69.6668651,2025-05-23 00:49:53+00:00,regasification,resolved_liquefaction_to_regasification
9397353,pre,409a4fada7c4b58b1ec0937a21d4f55f,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-29 03:30:08+00:00,,,,,,,,right_censored
9431111,pre,5187844a9fbaa4bf22434f2b57c990bb,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-03 04:12:38+00:00,8b01acb6678b1643a87c5cde0ccd3b1b,T100000130811,Tangshan LNG Terminal (Xintian),38.938745,118.541145,2025-03-22 23:20:06+00:00,regasification,resolved_liquefaction_to_regasification
9431111,pre,0351122f6b7da2b2a5eeea2a2fbf4982,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-13 09:14:16+00:00,83fffd94de2269689b7dd224a9e5446c,T100000130272,Summit FSRU,21.562987,91.821147,2025-04-25 08:11:20+00:00,regasification,resolved_liquefaction_to_regasification
9431111,pre,bf01731612d5b8a4e6e62c94d30561dd,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-07 22:06:54+00:00,216b6cd84a889c90e317da0ef0ce953b,T100000130291,Pengerang Johor LNG Terminal,1.341382,104.182089,2025-06-01 14:08:53+00:00,regasification,resolved_liquefaction_to_regasification
9431123,pre,58d9a461d00e4a33a53a9242577ba521,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-30 13:10:50+00:00,707ea020e87cf76d649bcd82f6d62dc0,T100000130466,Adriatic LNG Terminal,45.091667,12.586111,2025-05-06 08:27:57+00:00,regasification,resolved_liquefaction_to_regasification
9431135,post,95ed23e1e1b0ede5e4f6f94245eb0ab2,T100000130217,Cove Point LNG Terminal,38.38544418456382,-76.4097200524101,2026-05-12 18:25:06+00:00,,,,,,,,right_censored
9431135,pre,6818ed23ec085b8ce08ea22b16f3953c,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-19 10:21:06+00:00,6ed2aedec3fcf58c6f9c13be92fa8c51,T100000130321,Map Ta Phut LNG Terminal 1,12.651686,101.159533,2025-04-05 10:39:02+00:00,regasification,resolved_liquefaction_to_regasification
9431135,pre,577e32a5111db4781f49953cd18dacfc,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-20 02:01:37+00:00,537bcc1e0b48222498fa957904df9c7e,T100000130299,GasPort FSRU,24.7749916,67.288333,2025-04-25 02:15:45+00:00,regasification,resolved_liquefaction_to_regasification
9431135,pre,f5a3b0e79e883ec521a20e93ff9d5e7a,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-04 19:44:01+00:00,955224cc077e033ab1c9dc9d42fb2309,T100000130411,Tianjin LNG Terminal (Sinopec),38.749154,117.714895,2025-05-26 01:29:20+00:00,regasification,resolved_liquefaction_to_regasification
9431147,pre,042b1d5f47a153f2a742f84a9db88fbe,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-11 04:17:01+00:00,64e6e7b9f73b81d12412ae2e65246b95,T100000130291,Pengerang Johor LNG Terminal,1.341382,104.182089,2025-04-08 00:24:35+00:00,regasification,resolved_liquefaction_to_regasification
9431147,pre,b956fce1a67c2291726e78531ab7aff5,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-21 01:12:46+00:00,e94a5d4fd2bbbb45dce8492d377ebaa7,T100000130404,Shandong LNG Terminal,35.58624,119.759685,2025-05-09 23:33:55+00:00,regasification,resolved_liquefaction_to_regasification
9431147,pre,16c6cfc1da6f9432ee2f58e0a667b6b2,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-30 17:49:54+00:00,,,,,,,,right_censored
