date,n_tanker_july,n_tanker_august,revision_august_minus_july,changed,ratio_august_over_july,residual__proportional_2019_2025,residual__affine_2019_2025,residual__proportional_2019_2026_02_27,residual__additive_2019_2025,default_mapping,residual_default,period,year,month
2024-10-01,45.0,31.0,-14.0,True,0.6888888888888889,-6.436258772873366,-6.470333482891071,-6.408347961376364,-4.875635510363708,proportional_2019_2025,-6.436258772873366,pre_onset,2024,2024-10
2024-10-02,59.0,52.0,-7.0,True,0.8813559322033898,2.916905164454917,2.9190436316466375,2.9534993395287685,2.1243644896362923,proportional_2019_2025,2.916905164454917,pre_onset,2024,2024-10
2024-10-03,68.0,47.0,-21.0,True,0.6911764705882353,-9.570346590119755,-9.544928223293411,-9.528170252746499,-11.875635510363708,proportional_2019_2025,-9.570346590119755,pre_onset,2024,2024-10
2024-10-04,58.0,52.0,-6.0,True,0.896551724137931,3.748822026074329,3.748373837751082,3.784795960892687,3.1243644896362923,proportional_2019_2025,3.748822026074329,pre_onset,2024,2024-10
2024-10-05,48.0,46.0,-2.0,True,0.9583333333333334,6.067990642268413,6.041675898795582,6.09776217453188,7.124364489636292,proportional_2019_2025,6.067990642268413,pre_onset,2024,2024-10
2024-10-06,34.0,27.0,-7.0,True,0.7941176470588235,-1.2851732950598773,-1.3477012157421306,-1.2640851263732493,2.1243644896362923,proportional_2019_2025,-1.2851732950598773,pre_onset,2024,2024-10
2024-10-07,63.0,52.0,-11.0,True,0.8253968253968254,-0.41076228202271636,-0.398277192771161,-0.37168714592690577,-1.8756355103637077,proportional_2019_2025,-0.41076228202271636,pre_onset,2024,2024-10
2024-10-08,65.0,53.0,-12.0,True,0.8153846153846154,-1.074596005261526,-1.0569376049800638,-1.034280388654743,-2.8756355103637077,proportional_2019_2025,-1.074596005261526,pre_onset,2024,2024-10
2024-10-09,44.0,28.0,-16.0,True,0.6363636363636364,-8.604341911253961,-8.641003276786627,-8.577051340012439,-6.875635510363708,proportional_2019_2025,-8.604341911253961,pre_onset,2024,2024-10
2024-10-10,47.0,38.0,-9.0,True,0.8085106382978723,-1.1000924961121825,-1.128993895099974,-1.0709412041042015,0.12436448963629232,proportional_2019_2025,-1.1000924961121825,pre_onset,2024,2024-10
2024-10-11,52.0,40.0,-12.0,True,0.7692307692307693,-3.259676804209221,-3.275644925622217,-3.2274243109237943,-2.8756355103637077,proportional_2019_2025,-3.259676804209221,pre_onset,2024,2024-10
2024-10-12,50.0,41.0,-9.0,True,0.82,-0.5958430809704041,-0.6169845134133212,-0.5648310681959572,0.12436448963629232,proportional_2019_2025,-0.5958430809704041,pre_onset,2024,2024-10
2024-10-13,41.0,30.0,-11.0,True,0.7317073170731707,-4.108591326395732,-4.153012658473273,-4.083161475920683,-1.8756355103637077,proportional_2019_2025,-4.108591326395732,pre_onset,2024,2024-10
2024-10-14,50.0,45.0,-5.0,True,0.9,3.404156919029596,3.383015486586679,3.435168931804043,4.124364489636292,proportional_2019_2025,3.404156919029596,pre_onset,2024,2024-10
2024-10-15,48.0,32.0,-16.0,True,0.6666666666666666,-7.932009357731587,-7.958324101204418,-7.90223782546812,-6.875635510363708,proportional_2019_2025,-7.932009357731587,pre_onset,2024,2024-10
2024-10-16,52.0,46.0,-6.0,True,0.8846153846153846,2.740323195790779,2.724355074377783,2.7725756890762057,3.1243644896362923,proportional_2019_2025,2.740323195790779,pre_onset,2024,2024-10
2024-10-17,56.0,48.0,-8.0,True,0.8571428571428571,1.4126557493131457,1.4070342499599846,1.4473892036205314,1.1243644896362923,proportional_2019_2025,1.4126557493131457,pre_onset,2024,2024-10
2024-10-18,52.0,43.0,-9.0,True,0.8269230769230769,-0.2596768042092208,-0.2756449256222169,-0.22742431092379434,0.12436448963629232,proportional_2019_2025,-0.2596768042092208,pre_onset,2024,2024-10
2024-10-19,67.0,55.0,-12.0,True,0.8208955223880597,-0.7384297285003427,-0.7155980171889595,-0.6968736313825801,-2.8756355103637077,proportional_2019_2025,-0.7384297285003427,pre_onset,2024,2024-10
2024-10-20,63.0,55.0,-8.0,True,0.873015873015873,2.5892377179772836,2.601722807228839,2.6283128540730942,1.1243644896362923,proportional_2019_2025,2.5892377179772836,pre_onset,2024,2024-10
2024-10-21,55.0,46.0,-9.0,True,0.8363636363636363,0.24457261093255056,0.2363644560644289,0.27868582498444994,0.12436448963629232,proportional_2019_2025,0.24457261093255056,pre_onset,2024,2024-10
2024-10-22,46.0,38.0,-8.0,True,0.8260869565217391,-0.2681756344927777,-0.29966368899552265,-0.23964458274028289,1.1243644896362923,proportional_2019_2025,-0.2681756344927777,pre_onset,2024,2024-10
2024-10-23,43.0,34.0,-9.0,True,0.7906976744186046,-1.772425049634549,-1.8116730706821755,-1.74575471864852,0.12436448963629232,proportional_2019_2025,-1.772425049634549,pre_onset,2024,2024-10
2024-10-24,40.0,29.0,-11.0,True,0.725,-4.2766744647763275,-4.323682452368828,-4.251864854556764,-1.8756355103637077,proportional_2019_2025,-4.2766744647763275,pre_onset,2024,2024-10
2024-10-25,68.0,57.0,-11.0,True,0.8382352941176471,0.42965340988024536,0.45507177670658905,0.47182974725350135,-1.8756355103637077,proportional_2019_2025,0.42965340988024536,pre_onset,2024,2024-10
2024-10-26,46.0,40.0,-6.0,True,0.8695652173913043,1.7318243655072223,1.7003363110044774,1.7603554172597171,3.1243644896362923,proportional_2019_2025,1.7318243655072223,pre_onset,2024,2024-10
2024-10-27,61.0,47.0,-14.0,True,0.7704918032786885,-3.7469285587838996,-3.7396167805622653,-3.7090939031990686,-4.875635510363708,proportional_2019_2025,-3.7469285587838996,pre_onset,2024,2024-10
2024-10-28,48.0,38.0,-10.0,True,0.7916666666666666,-1.9320093577315873,-1.9583241012044184,-1.90223782546812,-0.8756355103637077,proportional_2019_2025,-1.9320093577315873,pre_onset,2024,2024-10
2024-10-29,42.0,38.0,-4.0,True,0.9047619047619048,3.0594918119848558,3.017657135422276,3.0855419027153985,5.124364489636292,proportional_2019_2025,3.0594918119848558,pre_onset,2024,2024-10
2024-10-30,45.0,38.0,-7.0,True,0.8444444444444444,0.5637412271266342,0.5296665171089288,0.5916520386236357,2.1243644896362923,proportional_2019_2025,0.5637412271266342,pre_onset,2024,2024-10
2024-10-31,29.0,19.0,-10.0,True,0.6551724137931034,-5.1255889869628355,-5.201050185219884,-5.1076020195536564,-0.8756355103637077,proportional_2019_2025,-5.1255889869628355,pre_onset,2024,2024-10
