design_id,design_sha256,admission_protocol_sha256,vintage,source_variable,source_path,source_sha256,vintage_reporting_role,model,point_definition,date,y_true,y_pred,lower_pointwise,upper_pointwise,common_point_shortfall,cumulative_common_point_shortfall
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-11,4.0,67.0,,,63.0,2426.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-12,4.0,83.0,,,79.0,2505.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-13,4.0,73.0,,,69.0,2574.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-14,5.0,32.0,,,27.0,2601.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-15,7.0,66.0,,,59.0,2660.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-16,5.0,55.0,,,50.0,2710.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-17,10.0,35.0,,,25.0,2735.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-18,14.0,67.0,,,53.0,2788.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-19,5.0,83.0,,,78.0,2866.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-20,5.0,73.0,,,68.0,2934.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-21,3.0,32.0,,,29.0,2963.0
portwatch_two_vintage_four_specification_matrix_v1,297908c214a0afab30a377854585cb1788922334c3bba976f8e2a1141c6ed73e,bb050aa041e8fc1c8391b908baeab529aaf2e9944d5f35b07af661349176adce,pinned_primary,portwatch_chokepoints_snapshot,data/raw/portwatch/Daily_Chokepoints_Data.csv,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,pinned_primary_reference,seasonal_naive_7d,deterministic_daily_point,2026-04-22,4.0,66.0,,,62.0,3025.0
