date,observed_lng_volume_index,ar_counterfactual,bsts_counterfactual_median,bsts_lower_95,bsts_upper_95
2026-04-01,0.0,98.64488398231522,95.87532047203916,0.0,212.12586426804577
2026-04-02,0.0,99.44071907074566,95.61237253433225,0.0,206.80733208297508
2026-04-03,0.0,101.52739157726946,100.2623468637573,0.0,210.79556671793134
2026-04-04,0.0,103.3334765845646,100.53785018675038,0.0,217.4521146655181
2026-04-05,0.0,103.49900141492839,101.53558248952825,0.0,227.55571227310116
2026-04-06,0.0,101.8993203984563,99.05207532066603,0.0,214.04947677604406
2026-04-07,0.0,99.73900797083242,96.19988078830795,0.0,215.44659999463744
2026-04-08,0.0,98.64484568616913,95.30051100281241,0.0,216.2130283950252
2026-04-09,0.0,99.4407411198906,98.02891110965578,0.0,216.0579192267665
2026-04-10,0.0,101.52738230910744,98.61185373026527,0.0,217.7805545176471
2026-04-11,0.0,103.33347746291255,99.80196690254357,0.0,222.44682237759145
2026-04-12,0.0,103.49900444747746,100.75851134668774,0.0,221.26572099720738
2026-04-13,0.0,101.89931651875114,98.51944733685063,0.0,220.9796623651277
2026-04-14,0.0,99.73901125936867,96.99159315459588,0.0,220.97235049522703
2026-04-15,0.0,98.64484332961176,94.01239805923328,0.0,210.32734915234298
2026-04-16,0.0,99.44074263418395,98.08037469595291,0.0,226.54167580962383
2026-04-17,0.0,101.52738149449637,99.04566673822166,0.0,225.9966340044487
2026-04-18,0.0,103.33347776831516,101.954238597997,0.0,225.30828798802085
2026-04-19,0.0,103.49900444168686,99.51572017414932,0.0,225.07141730988485
2026-04-20,0.0,101.89931639526834,96.78394973753257,0.0,223.30427702284328
2026-04-21,0.0,99.73901140769398,95.90258103122032,0.0,228.6428928092074
2026-04-22,0.0,98.64484320297488,93.41438248841138,0.0,221.53125696914375
2026-04-23,0.0,99.4407427262109,97.5198566218132,0.0,228.46204394096407
2026-04-24,0.0,101.52738143686267,96.89162151332923,0.0,225.49757923133635
2026-04-25,0.0,103.33347779778829,99.93924938492009,0.0,224.5328709890269
2026-04-26,0.0,103.49900443147756,102.06932926233455,0.0,224.5417541556557
2026-04-27,0.0,101.89931639474705,98.97802619424888,0.0,231.6794220307575
2026-04-28,0.0,99.73901141266741,95.12682068948915,0.0,237.8200594873104
2026-04-29,0.0,98.64484319718886,93.12825565052118,0.0,232.8657817815414
2026-04-30,0.0,99.44074273115413,98.33226127308218,0.0,229.29243215529
2026-05-01,0.0,101.52738143331818,100.05589165425522,0.0,234.18491146301406
2026-05-02,41.61335305483311,103.33347779994658,102.49524867548706,0.0,237.89984386807885
2026-05-03,0.0,103.49900443041354,101.68977192592749,0.0,239.3246401789051
2026-05-04,0.0,101.89931639509201,99.53663939699587,0.0,238.90265151739854
2026-05-05,0.0,99.73901141271091,96.21355250044,0.0,233.42351926612886
2026-05-06,0.0,98.64484319698697,96.629207209909,0.0,236.7929064821918
2026-05-07,0.0,99.44074273138263,98.16875837351255,0.0,236.7724969830376
2026-05-08,0.0,101.52738143312585,99.91135943271071,0.0,241.6115166432067
2026-05-09,0.0,103.33347780008177,100.80049375462248,0.0,244.84393012255174
2026-05-10,0.0,103.49900443033316,97.81177506875488,0.0,243.7379931621572
2026-05-11,0.0,101.8993163951305,98.93379202977417,0.0,242.44510710404862
2026-05-12,0.0,99.73901141269923,98.41366158228153,0.0,245.64186823423893
2026-05-13,0.0,98.64484319698443,98.70409746149019,0.0,240.99387893129492
2026-05-14,0.0,99.44074273139087,98.74053640378024,0.0,239.29083914223466
2026-05-15,0.0,101.52738143311684,100.13106087888107,0.0,251.88776048760275
2026-05-16,0.0,103.33347780008921,104.19184910621006,0.0,248.80175651340699
2026-05-17,0.0,103.49900443032803,100.6409423455255,0.0,251.92060745014234
2026-05-18,0.0,101.89931639513348,98.09538373335891,0.0,249.63050417968253
2026-05-19,0.0,99.73901141269785,99.89130647692235,0.0,247.50373012748292
2026-05-20,0.0,98.64484319698481,100.21594896057856,0.0,253.34738696898012
2026-05-21,0.0,99.440742731391,99.20874890323753,0.0,244.00521221262068
2026-05-22,0.0,101.5273814331165,102.21644797950458,0.0,250.4697380272224
2026-05-23,0.0,103.33347780008957,102.63647043491714,0.0,252.5155405214508
2026-05-24,0.0,103.49900443032773,101.62540964431483,0.0,259.6327653183421
2026-05-25,0.0,101.89931639513368,101.93840694116403,0.0,253.05903185680748
2026-05-26,0.0,99.73901141269774,96.59078010278311,0.0,254.02194731578962
2026-05-27,0.0,98.64484319698485,98.72269385087334,0.0,256.1940081514507
2026-05-28,0.0,99.440742731391,101.26317854174465,0.0,249.41962987700535
2026-05-29,0.0,101.5273814331165,99.42909545213797,0.0,253.2205002555289
2026-05-30,0.0,103.33347780008958,106.97747206560882,0.0,253.08422815478656
2026-05-31,0.0,103.49900443032772,101.23642241916386,0.0,258.29870092462426
2026-06-01,0.0,101.8993163951337,103.02837842489953,0.0,267.0129083424629
2026-06-02,0.0,99.73901141269772,101.79541340871988,0.0,250.5360266305326
2026-06-03,0.0,98.64484319698487,101.88326893428454,0.0,247.1983594219026
2026-06-04,0.0,99.440742731391,100.92518797023233,0.0,256.9644532039746
2026-06-05,0.0,101.5273814331165,101.84395059304916,0.0,252.48714415370117
2026-06-06,0.0,103.33347780008958,103.69222562896437,0.0,255.58689069997018
2026-06-07,0.0,103.49900443032772,101.62740948058504,0.0,258.3084750045084
2026-06-08,0.0,101.8993163951337,101.71707776952316,0.0,261.69163563544106
2026-06-09,0.0,99.73901141269772,101.73788244774559,0.0,253.89890827876383
2026-06-10,0.0,98.64484319698487,96.22669648918031,0.0,255.61221897450832
2026-06-11,0.0,99.440742731391,100.97590032439565,0.0,264.4168637945005
2026-06-12,0.0,101.5273814331165,100.64860605455351,0.0,261.37002788848514
2026-06-13,33.473649084369086,103.33347780008958,103.78565161089864,0.0,265.33652076397755
2026-06-14,0.0,103.49900443032772,105.03106686953046,0.0,261.3143276543584
2026-06-15,0.0,101.8993163951337,99.58248966879263,0.0,271.21929205853655
2026-06-16,0.0,99.73901141269772,98.32767466906472,0.0,263.8319684245846
2026-06-17,0.0,98.64484319698487,100.24743078266198,0.0,274.68311291285397
2026-06-18,0.0,99.440742731391,102.47058998044973,0.0,266.7697190470878
2026-06-19,0.0,101.5273814331165,102.01954599010054,0.0,278.7545381808356
2026-06-20,0.0,103.33347780008958,104.41925815184825,0.0,265.0310686024011
