terminal_pair,support_status,pre_sequences,post_sequences,pre_share,post_share,pre_mean_burden,post_mean_burden,terminal_radius_km,cohort
T100000130224 -> T100000130430,common,2,3,0.002109704641350211,0.004132231404958678,1140201201.4262984,1119587394.3948624,30,all_retained
T100000130224 -> T100000130446,common,4,2,0.004219409282700422,0.0027548209366391185,881621035.7479689,892780795.6941458,30,all_retained
T100000130224 -> T100000130448,common,1,2,0.0010548523206751054,0.0027548209366391185,972155472.508228,952416275.0968933,30,all_retained
T100000130224 -> T100000130456,common,1,1,0.0010548523206751054,0.0013774104683195593,872279187.9039941,840295617.6808476,30,all_retained
T100000130224 -> T100000130460,common,2,3,0.002109704641350211,0.004132231404958678,908574053.335304,917973095.2663589,30,all_retained
T100000130224 -> T100000130492,common,4,3,0.004219409282700422,0.004132231404958678,901693410.926497,869700554.142924,30,all_retained
T100000130224 -> T100000130517,common,2,1,0.002109704641350211,0.0013774104683195593,1676224119.464438,1676224119.464438,30,all_retained
T100000130224 -> T100000130575,common,1,2,0.0010548523206751054,0.0027548209366391185,263485723.6132061,263485723.6132061,30,all_retained
T100000130224 -> T100000130618,common,1,1,0.0010548523206751054,0.0013774104683195593,1187748879.6968074,1183653193.9047494,30,all_retained
T100000130240 -> T100000130291,common,1,1,0.0010548523206751054,0.0013774104683195593,2344984065.8708153,2040136137.307609,30,all_retained
T100000130240 -> T100000130313,common,3,3,0.0031645569620253164,0.004132231404958678,1674909266.9468956,1601838235.3973427,30,all_retained
T100000130240 -> T100000130321,common,1,3,0.0010548523206751054,0.004132231404958678,2195504626.899451,2333740103.4079347,30,all_retained
T100000130240 -> T100000130446,common,3,2,0.0031645569620253164,0.0027548209366391185,851561963.7629544,877149567.2674105,30,all_retained
T100000130240 -> T100000130448,common,1,1,0.0010548523206751054,0.0013774104683195593,974262252.7328614,941786844.3084328,30,all_retained
T100000130240 -> T100000130456,common,2,2,0.002109704641350211,0.0027548209366391185,845255210.5689576,830928851.0677888,30,all_retained
T100000130240 -> T100000130467,common,1,1,0.0010548523206751054,0.0013774104683195593,1490104048.6690552,1620488152.9275978,30,all_retained
T100000130240 -> T100000130492,common,13,7,0.013713080168776372,0.009641873278236915,867875048.0724317,877574238.8062646,30,all_retained
T100000130240 -> T100000130498,common,7,2,0.007383966244725738,0.0027548209366391185,990857275.4187635,929616791.0352428,30,all_retained
T100000130240 -> T100000130500,common,1,1,0.0010548523206751054,0.0013774104683195593,792367249.9873577,814225656.8835607,30,all_retained
T100000130240 -> T100000130522,common,3,2,0.0031645569620253164,0.0027548209366391185,920763227.3643417,913413919.9623458,30,all_retained
T100000130240 -> T100000130524,common,1,2,0.0010548523206751054,0.0027548209366391185,869214067.9771489,860463590.7827481,30,all_retained
T100000130240 -> T100000130545,common,1,2,0.0010548523206751054,0.0027548209366391185,1119933678.553796,1143184896.7936673,30,all_retained
T100000130240 -> T100000130553,common,1,1,0.0010548523206751054,0.0013774104683195593,865932645.2241158,885612932.615573,30,all_retained
T100000130240 -> T100000130557,common,4,1,0.004219409282700422,0.0013774104683195593,813593780.7537194,814764419.287178,30,all_retained
T100000130240 -> T100000130575,common,5,1,0.005274261603375527,0.0013774104683195593,244880938.3908332,258224000.954576,30,all_retained
T100000130240 -> T100000130685,common,6,7,0.006329113924050633,0.009641873278236915,1173354413.5542114,1161216264.4484782,30,all_retained
T100000130240 -> T100000130926,common,2,1,0.002109704641350211,0.0013774104683195593,592333415.1198616,582293865.7110504,30,all_retained
T100000130242 -> T100000130272,common,1,2,0.0010548523206751054,0.0027548209366391185,1954020835.7126968,1954020835.7126968,30,all_retained
T100000130242 -> T100000130426,common,5,1,0.005274261603375527,0.0013774104683195593,804060502.1802046,827442677.0210532,30,all_retained
T100000130242 -> T100000130446,common,3,4,0.0031645569620253164,0.005509641873278237,788132345.0128169,819858676.956338,30,all_retained
T100000130242 -> T100000130448,common,5,1,0.005274261603375527,0.0013774104683195593,876765932.7259715,910898449.3331684,30,all_retained
T100000130242 -> T100000130456,common,3,4,0.0031645569620253164,0.005509641873278237,777663845.6347642,800040456.0925244,30,all_retained
T100000130242 -> T100000130458,common,3,1,0.0031645569620253164,0.0013774104683195593,864974676.3667188,864974676.3667188,30,all_retained
T100000130242 -> T100000130460,common,1,2,0.0010548523206751054,0.0027548209366391185,865411294.4539676,880332178.841105,30,all_retained
T100000130242 -> T100000130466,common,2,3,0.002109704641350211,0.004132231404958678,1080806032.0439312,1079563726.2599728,30,all_retained
T100000130242 -> T100000130474,common,1,1,0.0010548523206751054,0.0013774104683195593,940078308.7097272,943331174.8298302,30,all_retained
