destination_country,pre_resolved_voyages,pre_unique_imos,pre_nominal_capacity_m3,pre_expanded_m3_nm,pre_expanded_route_coverage_rate,pre_hormuz_exposed_voyages,pre_hormuz_exposed_nominal_capacity_m3,pre_hormuz_exposed_expanded_m3_nm,pre_inside_hormuz_non_crossing_voyages,pre_non_gulf_voyages,pre_non_gulf_nominal_capacity_m3,pre_non_gulf_expanded_m3_nm,post_resolved_voyages,post_unique_imos,post_nominal_capacity_m3,post_expanded_m3_nm,post_expanded_route_coverage_rate,post_hormuz_exposed_voyages,post_hormuz_exposed_nominal_capacity_m3,post_hormuz_exposed_expanded_m3_nm,post_inside_hormuz_non_crossing_voyages,post_non_gulf_voyages,post_non_gulf_nominal_capacity_m3,post_non_gulf_expanded_m3_nm,pre_hormuz_exposure_capacity_share_pct,total_capacity_percent_change,hormuz_exposed_capacity_absolute_change_m3,hormuz_exposed_capacity_percent_change,non_gulf_capacity_absolute_change_m3,non_gulf_capacity_percent_change,descriptive_non_gulf_offset_ratio,expanded_m3_nm_percent_change,country_hormuz_exposed_estimate_estimable,country_hormuz_exposed_suppression_reason
Spain,57,50,9712100.0,39890742545.34967,1.0,1,173400.0,822957422.7816918,0,56,9538700.0,39067785122.56798,35,32,5867100.0,22155048012.252552,1.0,0,0.0,,0,35,5867100.0,22155048012.252552,1.7854017153859618,-39.58979005570371,,,-3671600.0,-38.491618354702425,,-44.460677845077335,False,post exposed voyages below 5
Vietnam,3,3,444000.0,1235510669.627774,1.0,1,152600.0,660693891.9259825,0,2,291400.0,574816777.7017915,3,3,499500.0,1233647866.342658,1.0,0,0.0,,0,3,499500.0,1233647866.342658,34.369369369369366,12.5,,,208100.0,71.41386410432395,,-0.15077193025594404,False,post exposed voyages below 5
Philippines,6,6,1015700.0,5727797802.362304,1.0,1,145700.0,738681927.6558218,0,5,870000.0,4989115874.706482,4,4,655000.0,1383347840.2728958,1.0,0,0.0,,0,4,655000.0,1383347840.2728958,14.344786846509797,-35.512454464901055,,,-215000.0,-24.712643678160916,,-75.84852175294378,False,post exposed voyages below 5
Argentina,1,1,173400.0,757252397.2814717,1.0,0,0.0,,0,1,173400.0,757252397.2814717,0,0,0.0,,,0,0.0,,0,0,0.0,,0.0,-100.0,,,-173400.0,-100.0,,,False,post exposed voyages below 5
Brazil,6,5,1004000.0,2418807324.224866,0.6666666666666666,0,0.0,,0,6,1004000.0,2418807324.224866,4,3,695000.0,1165802171.8625245,0.5,0,0.0,,0,4,695000.0,1165802171.8625245,0.0,-30.776892430278878,,,-309000.0,-30.776892430278878,,-51.80260287015135,False,post exposed voyages below 5
Chile,7,7,1223400.0,4205935810.181449,0.8571428571428571,0,0.0,,0,7,1223400.0,4205935810.181449,6,4,1042200.0,3733698415.0131493,1.0,0,0.0,,0,6,1042200.0,3733698415.0131493,0.0,-14.811181951937225,,,-181200.0,-14.811181951937225,,-11.22787927540736,False,post exposed voyages below 5
Colombia,8,8,1381800.0,2307819361.158143,1.0,0,0.0,,0,8,1381800.0,2307819361.158143,6,5,1055400.0,1163402597.3718412,1.0,0,0.0,,0,6,1055400.0,1163402597.3718412,0.0,-23.621363438992617,,,-326400.0,-23.621363438992617,,-49.58866291909408,False,post exposed voyages below 5
Croatia,6,6,996600.0,5031758440.755738,1.0,0,0.0,,0,6,996600.0,5031758440.755738,6,6,1002700.0,4850365144.273613,1.0,0,0.0,,0,6,1002700.0,4850365144.273613,0.0,0.6120810756572448,,,6100.0,0.6120810756572448,,-3.604968295236388,False,post exposed voyages below 5
Dominican Republic,5,5,838200.0,1405717664.6920278,1.0,0,0.0,,0,5,838200.0,1405717664.6920278,5,3,874800.0,1431403685.1291633,1.0,0,0.0,,0,5,874800.0,1431403685.1291633,0.0,4.366499642090194,,,36600.0,4.366499642090194,,1.8272531591728258,False,post exposed voyages below 5
Egypt,11,11,1913400.0,12341183942.81161,1.0,0,0.0,,0,11,1913400.0,12341183942.81161,22,21,3818400.0,24951062735.842175,1.0,0,0.0,,0,22,3818400.0,24951062735.842175,0.0,99.56099090624019,,,1905000.0,99.56099090624019,,102.17722101432143,False,post exposed voyages below 5
