family,model,block_length_days,variant,weighting,n_series,dropped_control,minimum_pre_event_daily_transits,observed_global_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q950,reference_q975,one_sided_bootstrap_p_value,n_joint_resamples,equal_weighted_tanker_global,minimum_detectable_global_statistic,would_flag_a_tanker_sized_movement
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_roro::Malacca Strait,0.9644359464627151,0.21282409783607412,0.1102649584215978,0.024332869597742602,0.06313529547348826,0.1509202262296531,0.1579533543939406,0.00019998000199980003,10000,0.21559239498209762,0.1509202262296531,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_roro::Panama Canal,0.9644359464627151,0.2009352508997661,0.1175802424684089,0.02279788179978206,0.07314846114178725,0.15551467954092812,0.1625201414367283,0.00019998000199980003,10000,0.21559239498209762,0.15551467954092812,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_roro::Yucatan Channel,1.7655831739961758,0.21207893965988514,0.13288617229499192,0.022454562314340787,0.08979476484723695,0.17038970079479063,0.17779021767183925,0.00039996000399960006,10000,0.21559239498209762,0.17038970079479063,True
non_tanker_negative_controls,ar_lag1_7,7,volume_eligible_controls,equal,7,,5.154110898661568,0.06232014583957122,0.058778987381146154,0.015088580176977834,0.02889570096670985,0.0833552834967438,0.08814514741066466,0.41025897410258977,10000,0.21559239498209762,0.0833552834967438,True
non_tanker_negative_controls,ar_lag1_7,14,full_ten_control_family,equal,10,,0.9644359464627151,0.19790818424158999,0.11416405446598445,0.02660200417492881,0.061280202697028704,0.15830163395339977,0.16631266358038704,0.0006999300069993001,10000,0.21559239498209762,0.15830163395339977,True
non_tanker_negative_controls,ar_lag1_7,14,full_ten_control_family,inverse_reference_variance,10,,0.9644359464627151,0.10037250949297787,0.10019079208711965,0.011929035595499845,0.07742261086889796,0.11990148287683894,0.12352948639739489,0.49185081491850813,10000,0.21559239498209762,0.11990148287683894,True
non_tanker_negative_controls,ar_lag1_7,14,full_ten_control_family,pre_event_volume,10,,0.9644359464627151,0.161205112136613,0.16429528033338148,0.01630761694932164,0.13257387383712865,0.1913275403717394,0.1967505078742661,0.5691430856914309,10000,0.21559239498209762,0.1913275403717394,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_dry_bulk::Cape of Good Hope,0.9644359464627151,0.184401682533137,0.09404109571627031,0.024996443692600578,0.0445320189280101,0.13543227168137803,0.1424714953236802,9.999000099990002e-05,10000,0.21559239498209762,0.13543227168137803,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_dry_bulk::Gibraltar Strait,0.9644359464627151,0.22034765405132883,0.1265444871547401,0.032206502492410326,0.06249266254048327,0.17977548757247772,0.18963110266534564,0.0013998600139986002,10000,0.21559239498209762,0.17977548757247772,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_dry_bulk::Malacca Strait,0.9644359464627151,0.19640320696129385,0.09692429082204566,0.029538846193424475,0.037971096742709584,0.14556302217403386,0.1545144280292741,0.00039996000399960006,10000,0.21559239498209762,0.14556302217403386,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_dry_bulk::Panama Canal,0.9644359464627151,0.24078763644716186,0.15729560686228003,0.02764183558359608,0.10251992639581818,0.20222767371892567,0.21085618839935347,0.0007999200079992001,10000,0.21559239498209762,0.20222767371892567,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_dry_bulk::Yucatan Channel,0.9644359464627151,0.221170070409836,0.13449074157330831,0.028613883195151867,0.07801547255739749,0.182064461699565,0.1908074149810499,0.0011998800119988001,10000,0.21559239498209762,0.182064461699565,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_roro::Cape of Good Hope,0.9644359464627151,0.07525299896354849,0.04859573113991663,0.018915968913071145,0.011442231841098794,0.0794688909918527,0.08566258300212781,0.0771922807719228,10000,0.21559239498209762,0.0794688909918527,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_roro::Gibraltar Strait,0.9644359464627151,0.21488030465386823,0.12225207504741858,0.031437891448523395,0.05996568320511542,0.17406935307047888,0.183243777981175,0.0012998700129987,10000,0.21559239498209762,0.17406935307047888,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_roro::Malacca Strait,0.9644359464627151,0.21282409783607412,0.11054276807441252,0.029168067929533387,0.05219366968356378,0.15856545168219868,0.1666123047532717,9.999000099990002e-05,10000,0.21559239498209762,0.15856545168219868,True
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_roro::Panama Canal,0.9644359464627151,0.2009352508997661,0.11790937112827712,0.027361824532427994,0.06385379708586618,0.1630342574424068,0.1720678240642533,0.0010998900109989002,10000,0.21559239498209762,0.1630342574424068,True
