hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_tanker::Malacca Strait,chronos2_univariate,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,11042.626625061035,-1669.6266250610352,-0.17014804206531953,0.001150855908520764,0.012110358227717161,-0.022416695851860485,0.02524016542862285,-14.144825012837845,1.0,1.0,5.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Panama Canal,chronos2_univariate,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1672.0100021362305,276.98999786376953,0.17246828272284673,0.011731156221432634,0.04054771918244371,-0.07547739412220811,0.08398237644884375,3.964147176273476,9.999000099990002e-05,0.00019998000199980003,2.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3359.899965286255,646.1000347137451,0.2153886426629157,0.031675312001281285,0.026410239679271134,-0.018936541785135146,0.08384537650629999,6.956140227906652,9.999000099990002e-05,9.999000099990002e-05,1.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Bab el-Mandeb Strait,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,2244.1079716886843,-411.10797168868453,-0.18074037174823054,-0.13106435604847894,0.16804504339754214,-0.4271156818589302,0.21945075935594355,,,,,,,context_descriptive_not_tested,28
n_tanker::Strait of Hormuz,ar_lag1_7,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7025.362323200071,-6496.362323200071,-0.9236351646656651,0.03747250248330077,0.0645914557319654,-0.09510953121002146,0.15522650384383654,,,,,,,context_descriptive_not_tested,28
n_tanker::Suez Canal,ar_lag1_7,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2298.024555629863,-158.02455562986287,-0.0690906954262288,0.007928127283805096,0.13673561180730703,-0.23274623167904301,0.29193177803889186,,,,,,,context_descriptive_not_tested,28
n_tanker::Bab el-Mandeb Strait,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,1751.4898109436035,81.51018905639648,0.03583531063824211,-0.10123903618635129,0.11958902885665348,-0.3845427623931109,0.046693692129341574,,,,,,,context_descriptive_not_tested,28
n_tanker::Strait of Hormuz,chronos2_univariate,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7571.26872253418,-7042.26872253418,-1.0012506549901987,-0.034007449679255,0.04215658700645212,-0.119048768125291,0.044777293680770186,,,,,,,context_descriptive_not_tested,28
n_tanker::Suez Canal,chronos2_univariate,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2383.4510135650635,-243.45101356506348,-0.1064404184677984,-0.03578368157218359,0.05401751234230099,-0.1462760421398612,0.06110921191619165,,,,,,,context_descriptive_not_tested,28
n_dry_bulk::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_dry_bulk,130,32.42141491395793,5755.0,4408.516885465371,1346.4831145346284,0.31946669961766677,0.2971562437691682,0.08421036035378154,0.12876523382012536,0.45383618904986944,0.264937185338819,0.40645935406459355,0.9229077092290771,6.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_dry_bulk,130,28.595793499043978,3699.0,3714.044696656946,-15.044696656945966,-0.004047044046059794,0.0026336880593781494,0.043822899143143385,-0.0766587272082206,0.09204592858139629,-0.15244842847151574,0.5433456654334566,0.9229077092290771,8.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Malacca Strait,ar_lag1_7,Malacca Strait,n_dry_bulk,130,50.531166347992354,8130.0,6740.954459617989,1389.045540382011,0.21145297976425517,0.2694084302058527,0.03020806346921203,0.20951146834273873,0.3257246799856987,-1.9185423951676197,0.9699030096990301,0.9999000099990001,10.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Panama Canal,ar_lag1_7,Panama Canal,n_dry_bulk,130,6.605736137667304,701.0,862.450104191315,-161.45010419131486,-0.18800688560855727,-0.2726576760784652,0.12184070431562573,-0.5347326232800125,-0.06801314721292893,0.6947660959889222,0.26817318268173185,0.8125187481251874,5.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_dry_bulk,130,7.974760994263862,1024.0,1035.8691786294112,-11.86917862941101,-0.01144879127262425,-0.06948450191802188,0.04076974458272367,-0.14717660607053257,0.01118171669837729,1.4234994905999603,0.0791920807919208,0.39786021397860216,4.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_roro,130,1.7655831739961758,538.0,239.20218353145543,298.79781646854457,1.301804851743963,0.7053865382151968,0.2652624897254152,0.149843363954732,1.1813018257395556,2.248408035927526,0.0006999300069993001,0.0978902109789021,1.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_roro,130,5.154110898661568,700.0,669.7418484112673,30.258151588732726,0.04515910053108546,0.04088370794536173,0.042126087875468024,-0.03860845948061158,0.1266454403985655,0.10149037808501295,0.44895510448955106,0.9229077092290771,7.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Malacca Strait,ar_lag1_7,Malacca Strait,n_roro,130,6.244741873804971,866.0,814.315737055871,51.684262944129046,0.0636649618912325,0.14706642771551132,0.043885350798130766,0.0685077836259814,0.23887987613726605,-1.9004397665161465,0.9826017398260174,0.9999000099990001,9.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Panama Canal,ar_lag1_7,Panama Canal,n_roro,130,2.119694072657744,322.0,274.97162798710866,47.02837201289137,0.1706645843180046,0.08089132649498967,0.04670444322209462,-0.009847669713681628,0.17269275972362808,1.9221566863802289,0.027897210278972105,0.20007999200079993,2.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_roro,130,0.9644359464627151,134.0,125.17706981167598,8.82293018832403,0.07037138547693327,-0.05688188926096786,0.0703165437818475,-0.19459183190799917,0.08277105883351026,1.8097202719845864,0.035996400359964,0.22357764223577642,3.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_dry_bulk,130,32.42141491395793,5755.0,6408.518508911133,-653.5185089111328,-0.15505385765870228,0.09516667140630268,0.0530707372680246,-0.013088717191368067,0.19603708631272865,-4.714849311425793,0.9999000099990001,1.0,9.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_dry_bulk,130,28.595793499043978,3699.0,3796.5535202026367,-97.55352020263672,-0.02624203080398955,-0.04707975482595469,0.026689724902895718,-0.10561674014538769,-0.0021047478226594654,0.7807395579301881,0.23307669233076692,0.8615138486151385,2.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Malacca Strait,chronos2_univariate,Malacca Strait,n_dry_bulk,130,50.531166347992354,8130.0,8547.01668548584,-417.01668548583984,-0.0634820228666824,0.03701937132139663,0.032083908434560646,-0.02495653055900166,0.10327468511925096,-3.1324548376973724,0.9993000699930007,1.0,8.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Panama Canal,chronos2_univariate,Panama Canal,n_dry_bulk,130,6.605736137667304,701.0,774.0733404159546,-73.07334041595459,-0.085093108000339,0.009692723604419489,0.1257349130045975,-0.27268212248064944,0.22408922400596834,-0.7538545129568955,0.7898210178982101,0.9998000199980002,7.0,10.0,10000.0,non_tanker_negative_controls,28
n_dry_bulk::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_dry_bulk,130,7.974760994263862,1024.0,986.6969308853149,37.30306911468506,0.0359818539645231,0.008995328729024686,0.03962032590346539,-0.06580045820019065,0.08887348163682034,0.6811283001874056,0.24717528247175283,0.8615138486151385,4.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_roro,130,1.7655831739961758,538.0,425.8366153240204,112.16338467597961,0.4886743821790485,-2.058636723558595,3.4243163523327014,-11.003525944821828,0.42359453015175536,0.7438889529007368,0.0100989901009899,0.8615138486151385,3.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_roro,130,5.154110898661568,700.0,655.984778881073,44.015221118927,0.06569098543837486,0.05616300300197004,0.043075180927302864,-0.031826787317283715,0.13603290260569154,0.22119425226524314,0.42855714428557146,0.9595040495950405,5.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Malacca Strait,chronos2_univariate,Malacca Strait,n_roro,130,6.244741873804971,866.0,1116.1574053764343,-250.15740537643433,-0.30814528006942193,0.08008834272315225,0.042569157965400124,-0.004261447864187729,0.16180795520618454,-9.120068174900885,1.0,1.0,10.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Panama Canal,chronos2_univariate,Panama Canal,n_roro,130,2.119694072657744,322.0,293.9143953323364,28.085604667663574,0.10192183655884796,0.11996374423196592,0.0680552571132048,0.005901116798065953,0.27236211662719534,-0.2651067447016856,0.5627437256274372,0.9935006499350065,6.0,10.0,10000.0,non_tanker_negative_controls,28
n_roro::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_roro,130,0.9644359464627151,134.0,106.680271089077,27.319728910923004,0.21790121119399639,0.10765172574633934,0.07170368758763478,-0.033699159275037964,0.24982988007692983,1.5375706488304717,0.06319368063193681,0.39606039396060394,1.0,10.0,10000.0,non_tanker_negative_controls,28
n_tanker::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1689.7313649531911,928.2686350468089,0.5514124743928375,0.24916203380627575,0.14152894351843723,-0.02908247058360665,0.5193135055094178,2.1356086823836637,0.0136986301369863,0.044795520447955206,3.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,5634.049317080094,233.95068291990617,0.04183787599763344,0.1286465974985929,0.03486982434154793,0.0650496127772728,0.20018367913005491,-2.4895084256999116,0.9981001899810019,0.9999000099990001,4.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Malacca Strait,ar_lag1_7,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,9960.4105784838,-587.4105784838002,-0.059861742929393946,0.1139996295567034,0.018410048337852054,0.07941208290563112,0.1506861154415309,-9.443830309159427,1.0,1.0,5.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Panama Canal,ar_lag1_7,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1609.2619872640091,339.738012735991,0.21153843851454512,-0.03520174659136074,0.05003802665118185,-0.14610810470285232,0.04214666589135585,4.931053473110497,9.999000099990002e-05,9.999000099990002e-05,2.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3006.9970976860895,999.0029023139101,0.33303492893486586,0.09925006276945504,0.03501057484483129,0.03153382757519995,0.16832675258478516,6.6775500602762925,9.999000099990002e-05,9.999000099990002e-05,1.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1886.3988523483276,731.6011476516724,0.43458755780852787,-0.23702681710010148,0.4018233170146863,-1.2703011036015863,0.17112098930170277,1.6714171290465019,9.999000099990002e-05,0.0973902609739026,3.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,6530.495822906494,-662.4958229064941,-0.11847547415453016,-0.0033889549924191274,0.030177807637772128,-0.058680825488772036,0.058085056644209654,-3.813614313654207,1.0,1.0,4.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Malacca Strait,chronos2_univariate,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,11042.626625061035,-1669.6266250610352,-0.17014804206531953,0.001197998625267143,0.013967197274564363,-0.025583709147160547,0.028949724046577432,-12.267746873069848,1.0,1.0,5.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Panama Canal,chronos2_univariate,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1672.0100021362305,276.98999786376953,0.17246828272284673,0.012119576237811042,0.05201608118878527,-0.1054098668828202,0.1008881536512579,3.0826756422321,0.00019998000199980003,0.0027997200279972004,2.0,5.0,10000.0,restricted_tanker_adaptation,28
n_tanker::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3359.899965286255,646.1000347137451,0.2153886426629157,0.031531392275312944,0.032609861725176555,-0.030679434202973324,0.09555600593141178,5.638087396293837,9.999000099990002e-05,9.999000099990002e-05,1.0,5.0,10000.0,restricted_tanker_adaptation,28
