model,portname,fold,origin,scored_end,regime,n_days,pre_event_mean,mean_residual,scaled_mean_residual,residual_lead_slope,scaled_residual_lead_slope
ar_lag1_7,Malacca Strait,fold_06,2024-10-12,2025-02-18,post_diversion,130,75.48298279158699,5.8018130728212345,0.0768625305764663,0.004214772315617914,5.583738426520784e-05
ar_lag1_7,Malacca Strait,fold_07,2025-02-19,2025-06-28,post_diversion,130,75.48298279158699,6.109327069090557,0.0809364818817345,0.08443895321380003,0.0011186488674797207
ar_lag1_7,Malacca Strait,fold_08,2025-06-29,2025-11-05,post_diversion,130,75.48298279158699,7.5595226081629106,0.10014870012536736,0.03404377594683007,0.0004510125949954437
ar_lag1_7,Panama Canal,fold_01,2023-01-01,2023-05-10,pre_diversion,130,12.354110898661569,0.16911014186574425,0.013688572431713031,0.0071455345643832565,0.0005783932670668673
ar_lag1_7,Panama Canal,fold_02,2023-05-11,2023-09-17,pre_diversion,130,12.354110898661569,0.5469266602991373,0.04427082327376475,0.007389535685402721,0.0005981438685485085
ar_lag1_7,Panama Canal,fold_03,2023-09-18,2024-01-25,straddles_onset,130,12.354110898661569,-2.1295271823691797,-0.17237397331441232,-0.0440279976191768,-0.0035638337700163226
ar_lag1_7,Panama Canal,fold_04,2024-01-26,2024-06-03,post_diversion,130,12.354110898661569,-2.581154727626523,-0.20893083677160149,0.022650621453900097,0.001833448124247779
ar_lag1_7,Panama Canal,fold_05,2024-06-04,2024-10-11,post_diversion,130,12.354110898661569,-0.3506388857112053,-0.0283823650756764,0.003702068921150612,0.00029966291799693093
ar_lag1_7,Panama Canal,fold_06,2024-10-12,2025-02-18,post_diversion,130,12.354110898661569,0.21393224751919665,0.017316685051157656,0.0023168225642244155,0.0001875345448352271
ar_lag1_7,Panama Canal,fold_07,2025-02-19,2025-06-28,post_diversion,130,12.354110898661569,0.035007417985260476,0.0028336655120242723,-0.014998355383679805,-0.0012140376192757594
ar_lag1_7,Panama Canal,fold_08,2025-06-29,2025-11-05,post_diversion,130,12.354110898661569,0.5316141127030635,0.043031353455039646,-4.43190616386155e-05,-3.5873938644517895e-06
ar_lag1_7,Yucatan Channel,fold_01,2023-01-01,2023-05-10,pre_diversion,130,23.074569789674953,-0.1191055063590789,-0.0051617649839077115,0.00898671462729808,0.0003894640164133987
ar_lag1_7,Yucatan Channel,fold_02,2023-05-11,2023-09-17,pre_diversion,130,23.074569789674953,1.4950580032415581,0.06479245406822463,0.030988970375689068,0.001342992335638497
ar_lag1_7,Yucatan Channel,fold_03,2023-09-18,2024-01-25,straddles_onset,130,23.074569789674953,0.8122474733058626,0.035200980157355496,-0.022076677453127927,-0.000956753588663068
ar_lag1_7,Yucatan Channel,fold_04,2024-01-26,2024-06-03,post_diversion,130,23.074569789674953,3.0661833167740675,0.13288149442101735,0.024908101331307858,0.0010794611365822016
ar_lag1_7,Yucatan Channel,fold_05,2024-06-04,2024-10-11,post_diversion,130,23.074569789674953,3.51287949136794,0.15224030278301562,-0.009075237056641901,-0.00039330037956775886
ar_lag1_7,Yucatan Channel,fold_06,2024-10-12,2025-02-18,post_diversion,130,23.074569789674953,4.608813435321389,0.1997356170594205,-0.03460642441728158,-0.0014997646644214673
ar_lag1_7,Yucatan Channel,fold_07,2025-02-19,2025-06-28,post_diversion,130,23.074569789674953,1.9556295774671495,0.08475259106855479,-0.0148605413679737,-0.000644022467306119
ar_lag1_7,Yucatan Channel,fold_08,2025-06-29,2025-11-05,post_diversion,130,23.074569789674953,2.9852445602634123,0.1293737906047203,0.018786440867342085,0.000814162129070261
chronos2_univariate,Cape of Good Hope,fold_01,2023-01-01,2023-05-10,pre_diversion,130,12.949521988527724,0.3501865093524639,0.027042427485949067,0.00013887737512597887,1.0724517495627521e-05
chronos2_univariate,Cape of Good Hope,fold_02,2023-05-11,2023-09-17,pre_diversion,130,12.949521988527724,1.25537428855896,0.09694367789568793,-0.003359556900720579,-0.0002594348195784282
chronos2_univariate,Cape of Good Hope,fold_03,2023-09-18,2024-01-25,straddles_onset,130,12.949521988527724,2.7845584355867827,0.21503175468976277,0.04241055556033467,0.0032750672648694788
chronos2_univariate,Cape of Good Hope,fold_04,2024-01-26,2024-06-03,post_diversion,130,12.949521988527724,-28.158231339087852,-2.174461062271941,-0.5650939773719807,-0.04363821134653544
chronos2_univariate,Cape of Good Hope,fold_05,2024-06-04,2024-10-11,post_diversion,130,12.949521988527724,-1.4128825994638297,-0.10910693079756414,-0.04102773201845068,-0.0031682815825015073
chronos2_univariate,Cape of Good Hope,fold_06,2024-10-12,2025-02-18,post_diversion,130,12.949521988527724,-3.5409304252037637,-0.27344101414251076,-0.05151131067381621,-0.003977854218823772
chronos2_univariate,Cape of Good Hope,fold_07,2025-02-19,2025-06-28,post_diversion,130,12.949521988527724,1.4457526793846718,0.11164525460210013,0.018421575910418757,0.0014225680242667528
chronos2_univariate,Cape of Good Hope,fold_08,2025-06-29,2025-11-05,post_diversion,130,12.949521988527724,3.0694673464848443,0.23703325491119712,0.014389158276849104,0.001111172928977362
chronos2_univariate,Gibraltar Strait,fold_01,2023-01-01,2023-05-10,pre_diversion,130,43.01414913957935,4.13199944129357,0.09606140128182897,0.02736346502892336,0.0006361503267245833
chronos2_univariate,Gibraltar Strait,fold_02,2023-05-11,2023-09-17,pre_diversion,130,43.01414913957935,-2.3476209787222055,-0.054577877876980915,0.007552883088443008,0.00017559066585123365
