hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,status,block_length_days,in_restricted_five,is_treated_anchor,is_context_corridor,volume_eligible
n_tanker::Sunda Strait,ar_lag1_7,Sunda Strait,n_tanker,130,11.196175908221797,1601.0,1456.9374475077525,144.06255249224762,0.09897785545650647,0.09124096980832881,0.0262489438320676,0.03939040170407314,0.14320717999492374,0.29475036015451894,0.388961103889611,0.9981001899810019,11,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Bab el-Mandeb Strait,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,2244.1079716886843,-411.10797168868453,-0.18074037174823054,-0.129720793594925,0.08949047096420752,-0.2966721519939144,0.05182819895814708,-0.57011185217375,0.7092290770922908,1.0,12,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,True,True
n_tanker::Makassar Strait,ar_lag1_7,Makassar Strait,n_tanker,130,5.217973231357552,639.0,677.8709629140203,-38.87096291402043,-0.057303361625934225,-0.033495965212443767,0.03842440692251435,-0.10648189435381616,0.04288706552562982,-0.6195904717930931,0.7294270572942706,1.0,13,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Torres Strait,ar_lag1_7,Torres Strait,n_tanker,130,2.026003824091778,273.0,263.42028454483454,9.579715455165454,0.03637215192272507,0.07213113885771036,0.05672126773667994,-0.03614745712449988,0.18654549314810126,-0.6304334927948204,0.7301269873012699,1.0,14,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Suez Canal,ar_lag1_7,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2298.024555629863,-158.02455562986287,-0.0690906954262288,0.00836637378794856,0.07295579641568713,-0.12764719229197508,0.15734982095317665,-1.0616986314951988,0.8576142385761424,1.0,15,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,True,True
n_tanker::Magellan Strait,ar_lag1_7,Magellan Strait,n_tanker,130,0.982791586998088,131.0,127.88381104579737,3.1161889542026184,0.024390404415563744,0.231559524694147,0.10303903449807811,0.03321297387741121,0.44105474123324173,-2.0105887180304216,0.9791020897910209,1.0,16,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Luzon Strait,ar_lag1_7,Luzon Strait,n_tanker,130,24.50095602294455,2929.0,3176.8235658592794,-247.82356585927963,-0.07780656069947728,0.007747649080998288,0.04154432855877714,-0.07259615129104208,0.08950487624355692,-2.059347515014787,0.9836016398360165,1.0,17,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Taiwan Strait,ar_lag1_7,Taiwan Strait,n_tanker,130,55.877629063097515,6142.0,7232.073876431918,-1090.0738764319171,-0.15006334029298699,-0.105475771752901,0.01888970245874264,-0.14360073593930953,-0.06946789027649047,-2.3604166681540137,0.9887011298870113,1.0,18,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Bering Strait,ar_lag1_7,Bering Strait,n_tanker,130,0.34493307839388143,6.0,42.77026364230262,-36.77026364230262,-0.820008864272739,0.29405011557479566,0.3812982415737031,-0.3911400338113511,1.0861783189699499,-2.921752209634023,1.0,1.0,19,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,5634.049317080094,233.95068291990617,0.04183787599763344,0.12858933195328898,0.022818873114160237,0.08507359076618909,0.173940897549204,-3.8017414585570384,1.0,1.0,20,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,True,False,False,True
