hypothesis,onset,model,portname,vessel_class,n_days,pre_onset_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_tanker::Dover Strait,external_onset,chronos2_univariate,Dover Strait,n_tanker,130,56.14048672566372,8327.0,8614.55228805542,-287.5522880554199,-0.03940009797489395,0.027706694796490457,0.014998054459974992,-0.0013872991581522166,0.05747360582779098,-4.4743665220359725,1.0,1.0,14.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Gibraltar Strait,external_onset,chronos2_univariate,Gibraltar Strait,n_tanker,130,41.608960176991154,6238.0,6766.097415924072,-528.0974159240723,-0.09763012095281612,0.016164125107357152,0.022153843471462063,-0.025933508578709925,0.06097015754661691,-5.136546451037253,1.0,1.0,15.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Korea Strait,external_onset,chronos2_univariate,Korea Strait,n_tanker,130,63.254977876106196,8139.0,7459.176643371582,679.823356628418,0.08267191944712642,-0.013614963063424426,0.017430798869477848,-0.04898714462244403,0.02025310472074196,5.5239512102427915,9.999000099990002e-05,9.999000099990002e-05,2.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Lombok Strait,external_onset,chronos2_univariate,Lombok Strait,n_tanker,130,6.991150442477876,991.0,915.3211679458618,75.67883205413818,0.08326882202646169,0.053280753279186924,0.03204623588163512,-0.009453074767967976,0.11626720872559124,0.9357750738039147,0.1735826417358264,0.8624137586241376,6.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Luzon Strait,external_onset,chronos2_univariate,Luzon Strait,n_tanker,130,24.627765486725664,3822.0,3443.104393005371,378.8956069946289,0.1183453526807916,0.01992318105419902,0.033667992105827785,-0.04844512218625854,0.08339429333867227,2.9233157509727503,0.0012998700129987,0.027897210278972105,3.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Makassar Strait,external_onset,chronos2_univariate,Makassar Strait,n_tanker,130,5.382743362831858,689.0,760.8329381942749,-71.8329381942749,-0.10265417200610913,0.005956184117818518,0.038305484054679616,-0.06842942375542636,0.08142109706854178,-2.835373545179341,0.9989001099890011,1.0,13.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Malacca Strait,external_onset,chronos2_univariate,Malacca Strait,n_tanker,130,72.55530973451327,10754.0,10928.341430664062,-174.3414306640625,-0.018483663471250602,0.029302915471435823,0.024935443980585028,-0.016286433544787732,0.0808018213722363,-1.91641179438768,0.9807019298070193,1.0,12.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Oresund Strait,external_onset,chronos2_univariate,Oresund Strait,n_tanker,130,11.860619469026549,1519.0,1512.187985420227,6.812014579772942,0.0044179911756666666,-0.010548358462475482,0.026066980392093587,-0.06071479248473375,0.04212040297996329,0.5741497255540045,0.2766723327667233,0.9612038796120388,7.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Sunda Strait,external_onset,chronos2_univariate,Sunda Strait,n_tanker,130,10.803097345132743,1554.0,1473.8744659423828,80.12553405761719,0.05705310637225377,0.019533893439858428,0.028239875863614667,-0.035435163224077144,0.07597812626702462,1.3285898675190893,0.0898910108989101,0.666033396660334,5.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Taiwan Strait,external_onset,chronos2_univariate,Taiwan Strait,n_tanker,130,58.26327433628319,6569.0,6617.639961242676,-48.63996124267577,-0.006421773446185814,-0.017024232996360182,0.01869480532458707,-0.05316436863671213,0.020868242229614257,0.5671339907578606,0.27587241275872415,0.9612038796120388,8.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Tsugaru Strait,external_onset,chronos2_univariate,Tsugaru Strait,n_tanker,130,12.018805309734514,1471.0,1520.9044389724731,-49.90443897247315,-0.031939971560845146,-0.006292573910163695,0.035546359067668544,-0.07613025574361908,0.062328265728015836,-0.7215196808724421,0.7654234576542346,1.0,11.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Yucatan Channel,external_onset,chronos2_univariate,Yucatan Channel,n_tanker,130,21.99778761061947,3073.0,2925.1361865997314,147.86381340026855,0.05170583375774328,0.018132666974231118,0.02106878324982259,-0.023484213354361436,0.0592716099254022,1.5935028798492605,0.055694430556944306,0.51994800519948,4.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_tanker,130,10.896017699115044,2255.0,1416.1292494877289,838.8707505122712,0.5922211311699282,-0.1307835655999194,0.0337191111554555,-0.19566509714279448,-0.06459157730113539,21.441985627574024,9.999000099990002e-05,9.999000099990002e-05,1.0,1.0,10000.0,ex_ante_designated_anchor,7
n_tanker::Cape of Good Hope,external_onset,chronos2_univariate,Cape of Good Hope,n_tanker,130,10.896017699115044,2255.0,1242.6398105621338,1012.3601894378662,0.7147002040232965,-0.004388585076005811,0.029987450127923813,-0.06230563146888349,0.054819039740854766,23.979657691191917,9.999000099990002e-05,9.999000099990002e-05,1.0,1.0,10000.0,ex_ante_designated_anchor,7
n_dry_bulk::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_dry_bulk,130,27.81858407079646,4870.0,3619.2429041829973,1250.7570958170027,0.3458554326444588,0.015494792712520081,0.0455024717369267,-0.06914094464237594,0.10798831207945939,7.260278998510768,9.999000099990002e-05,9.999000099990002e-05,2.0,2.0,10000.0,anchor_negative_controls,14
n_roro::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_roro,130,1.0553097345132743,380.0,136.80263530711807,243.1973646928819,1.7727013198062027,-0.14971170967517503,0.06773200730826308,-0.2775487445795249,-0.013434832741837014,28.382637779093987,9.999000099990002e-05,9.999000099990002e-05,1.0,2.0,10000.0,anchor_negative_controls,14
n_dry_bulk::Cape of Good Hope,external_onset,chronos2_univariate,Cape of Good Hope,n_dry_bulk,130,27.81858407079646,4870.0,3579.7982234954834,1290.2017765045166,0.35676255214058405,0.03084122828125183,0.02745399217352767,-0.021724856932264662,0.08564838324792536,11.871545740935982,9.999000099990002e-05,9.999000099990002e-05,2.0,2.0,10000.0,anchor_negative_controls,14
n_roro::Cape of Good Hope,external_onset,chronos2_univariate,Cape of Good Hope,n_roro,130,1.0553097345132743,380.0,82.37340080738068,297.6265991926193,2.1694440063709717,0.24148409042708344,0.0737317608916971,0.09794923135329209,0.389544561179948,26.148296102351665,9.999000099990002e-05,9.999000099990002e-05,1.0,2.0,10000.0,anchor_negative_controls,14
n_tanker::Bab el-Mandeb Strait,external_onset,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,2647.77725894936,-825.7772589493602,-0.3171768353767642,0.1922888492254511,0.05386304326228231,0.08535224499352315,0.29310248617809465,,,,,,,context_descriptive_not_tested,14
n_tanker::Suez Canal,external_onset,ar_lag1_7,Suez Canal,n_tanker,130,18.861725663716815,2018.0,2519.7537940353595,-501.7537940353598,-0.20462839075892922,0.22810736554067995,0.06270177440247923,0.10342092759375887,0.34705516702683664,,,,,,,context_descriptive_not_tested,14
n_tanker::Bab el-Mandeb Strait,external_onset,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,3514.083604812622,-1692.083604812622,-0.6499206864211874,0.04595868902573209,0.02965360810876585,-0.00769741171262839,0.10608954447627504,,,,,,,context_descriptive_not_tested,14
n_tanker::Suez Canal,external_onset,chronos2_univariate,Suez Canal,n_tanker,130,18.861725663716815,2018.0,3379.390693664551,-1361.3906936645508,-0.5552109224691328,0.07086151706182651,0.0386763472366749,-0.0019030362270315991,0.1515139491873126,,,,,,,context_descriptive_not_tested,14
n_tanker::Bab el-Mandeb Strait,external_onset,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,2647.77725894936,-825.7772589493602,-0.3171768353767642,0.1922888492254511,0.05386304326228231,0.08535224499352315,0.29310248617809465,-9.458538800368332,1.0,1.0,16.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Bohai Strait,external_onset,ar_lag1_7,Bohai Strait,n_tanker,130,37.0033185840708,4705.0,4804.646870189998,-99.64687018999737,-0.020714747093166726,0.026025426749546426,0.029515423629604146,-0.030190229761368745,0.0862351323387775,-1.583584719273095,0.9458054194580542,1.0,13.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Bosporus Strait,external_onset,ar_lag1_7,Bosporus Strait,n_tanker,130,23.190818584070797,3251.0,3016.9700852709775,234.02991472902244,0.07762684645106518,-0.005004228245538183,0.0271168519265527,-0.05824466364755299,0.048050441160492716,3.047222255754968,0.0008999100089991,0.015298470152984701,2.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_tanker,130,10.896017699115044,2255.0,1416.1292494877289,838.8707505122712,0.5922211311699282,-0.13116571965126692,0.04071607324973833,-0.20637584012990448,-0.04673034174606494,17.766616303693876,9.999000099990002e-05,9.999000099990002e-05,1.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Dover Strait,external_onset,ar_lag1_7,Dover Strait,n_tanker,130,56.14048672566372,8327.0,7325.535622784417,1001.4643772155839,0.13721954656488586,0.09328369118225797,0.02471672542604638,0.04666142863528866,0.14300265964510916,1.7775758975065712,0.0428957104289571,0.30146985301469853,7.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Gibraltar Strait,external_onset,ar_lag1_7,Gibraltar Strait,n_tanker,130,41.608960176991154,6238.0,5464.766838278131,773.233161721869,0.14294871519403207,0.15237754594500405,0.03128203961873582,0.09092858622553367,0.21225913968834678,-0.3014135544194103,0.6199380061993801,0.9934006599340066,11.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Korea Strait,external_onset,ar_lag1_7,Korea Strait,n_tanker,130,63.254977876106196,8139.0,8213.191223743845,-74.19122374384412,-0.00902224204748428,-0.015576428362650387,0.021420263839128675,-0.06184862672022679,0.022313223332580328,0.3059806529177054,0.40045995400459955,0.9679032096790321,9.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Lombok Strait,external_onset,ar_lag1_7,Lombok Strait,n_tanker,130,6.991150442477876,991.0,908.38289509293,82.61710490707009,0.0909029489240401,0.016296541998616854,0.030760732171969545,-0.04407377761706538,0.07555256305220891,2.4253781252127578,0.007499250074992501,0.0862913708629137,4.0,16.0,10000.0,eligible_receiver_family,14
