model,league,panel,fold,horizon,portname,vessel_class,common_95_coverage,common_width_scaled,n_coverage_days,native_95_coverage
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Torres Strait,n_dry_bulk,1.0,4.551616681663865,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Torres Strait,n_general_cargo,1.0,3.5551701788077357,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Torres Strait,n_roro,0.9666666666666667,4.038346234248889,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Torres Strait,n_tanker,0.9333333333333333,4.073001243469501,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Tsugaru Strait,n_container,0.9333333333333333,5.13666918941667,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Tsugaru Strait,n_dry_bulk,1.0,5.273856458811404,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Tsugaru Strait,n_general_cargo,1.0,4.43104151441334,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Tsugaru Strait,n_roro,0.8333333333333334,4.570206216666495,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Tsugaru Strait,n_tanker,1.0,4.9636737035083325,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Windward Passage,n_container,0.9666666666666667,5.087889265634987,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Windward Passage,n_dry_bulk,1.0,4.082544602432849,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Windward Passage,n_general_cargo,0.9666666666666667,4.136686647251316,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Windward Passage,n_roro,0.9666666666666667,4.556291842443326,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Windward Passage,n_tanker,1.0,4.138991844770972,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Yucatan Channel,n_container,0.9333333333333333,5.245181293621912,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Yucatan Channel,n_dry_bulk,1.0,5.105313771137014,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Yucatan Channel,n_general_cargo,0.9666666666666667,4.378245225755122,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Yucatan Channel,n_roro,1.0,4.319909257195932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Yucatan Channel,n_tanker,1.0,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bab el-Mandeb Strait,n_container,0.9,5.3635950955133325,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bab el-Mandeb Strait,n_dry_bulk,0.9076923076923077,5.206072724041035,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bab el-Mandeb Strait,n_general_cargo,0.9461538461538461,4.306597131623704,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bab el-Mandeb Strait,n_roro,0.9538461538461539,4.955437795805084,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bab el-Mandeb Strait,n_tanker,0.8846153846153846,5.732227155449588,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Balabac Strait,n_container,1.0,3.7085904138188948,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Balabac Strait,n_dry_bulk,0.9923076923076923,4.538162876312834,130,
