panel,portname,vessel_class,n_days,adf_t_constant_weekday_lag7,approx_adf_reject_5pct,ar_phi1,ar_phi7,ar17_companion_spectral_radius,near_unit_root_radius_ge_0_995
composition_28x5,Bohai Strait,n_dry_bulk,2615,-9.304589545881525,True,0.40531883470002644,0.1917040491447408,0.8645144533490839,False
composition_28x5,Bohai Strait,n_general_cargo,2615,-10.971899954806581,True,0.27727015610177835,0.14628449389525877,0.8069759548029071,False
composition_28x5,Bohai Strait,n_roro,2615,-9.566831831853317,True,0.06116579220535154,0.25821427632311694,0.8331588456948337,False
composition_28x5,Bohai Strait,n_tanker,2615,-10.263379914321034,True,0.28298856091033736,0.17014115875469368,0.824514584929181,False
composition_28x5,Bosporus Strait,n_container,2615,-10.344572727774006,True,0.037192598939162616,0.17062926187126407,0.7821964374586855,False
composition_28x5,Bosporus Strait,n_dry_bulk,2615,-10.25466856508827,True,0.25443875113381065,0.1855458619715606,0.8284328436823117,False
composition_28x5,Bosporus Strait,n_general_cargo,2615,-13.217345343294575,True,0.2911379685821338,0.12024139492141385,0.7891156949994981,False
composition_28x5,Bosporus Strait,n_roro,2615,-15.470687822229793,True,-0.10209177227017176,0.03284789265973635,0.6277109943205179,False
composition_28x5,Bosporus Strait,n_tanker,2615,-13.828442309355808,True,0.15139893481426467,0.05051436964862426,0.6768346167886914,False
composition_28x5,Cape of Good Hope,n_container,2615,-3.656712930070777,True,0.5008905546098664,0.3537409968754874,0.9581286577452982,False
composition_28x5,Cape of Good Hope,n_dry_bulk,2615,-6.0275298934561174,True,0.5071063431401358,0.2510324005400575,0.9202998972652194,False
composition_28x5,Cape of Good Hope,n_general_cargo,2615,-10.508162983911408,True,0.27187766823704845,0.14047609541487996,0.8015528075697589,False
composition_28x5,Cape of Good Hope,n_roro,2615,-8.134691764825268,True,0.3159422336169526,0.20908003535535566,0.8541908896014564,False
composition_28x5,Cape of Good Hope,n_tanker,2615,-6.630175499571525,True,0.3564063190963731,0.28290743913640914,0.8975445675285708,False
composition_28x5,Dover Strait,n_container,2615,-14.72169435060439,True,0.02241620485725022,0.1263695036140676,0.7473988787534012,False
composition_28x5,Dover Strait,n_dry_bulk,2615,-9.628297428179978,True,0.2465509272133907,0.16493248501191385,0.8139074519382001,False
composition_28x5,Dover Strait,n_general_cargo,2615,-16.788799968033526,True,0.16275838721584837,0.025076314723474213,0.6170513232700738,False
composition_28x5,Dover Strait,n_roro,2615,-12.583144571612673,True,0.029503323128481793,0.1342109002934592,0.7548693070889869,False
composition_28x5,Dover Strait,n_tanker,2615,-8.610957689469352,True,0.244289445083489,0.1958884511395698,0.832544093598861,False
composition_28x5,Gibraltar Strait,n_container,2615,-9.943994333300777,True,0.030834297877388075,0.2092615518852898,0.8042315968758127,False
composition_28x5,Gibraltar Strait,n_dry_bulk,2615,-10.35629278285538,True,0.21667042158260438,0.1633166056241771,0.8071752173452348,False
composition_28x5,Gibraltar Strait,n_general_cargo,2615,-15.138987864614522,True,0.15091845386361008,0.05372160250451018,0.6824920450353007,False
composition_28x5,Gibraltar Strait,n_roro,2615,-16.95234354226425,True,0.00919741512608049,0.042713157614804896,0.6386544355624927,False
composition_28x5,Gibraltar Strait,n_tanker,2615,-7.869796852266318,True,0.29903812851288725,0.23219683055770743,0.8626152876595328,False
composition_28x5,Kerch Strait,n_container,2615,-10.15143719649169,True,0.06534008562982009,0.1634375231912295,0.7816948789737556,False
composition_28x5,Kerch Strait,n_dry_bulk,2615,-6.709856706733235,True,0.22429315119326765,0.2982319183320255,0.877505679529476,False
composition_28x5,Kerch Strait,n_general_cargo,2615,-3.983792558547171,True,0.574412416187453,0.32669965821048214,0.9690165190089903,False
composition_28x5,Kerch Strait,n_roro,2615,-9.964277696907416,True,0.02234655006134782,0.17947447970381672,0.7856321882511611,False
composition_28x5,Kerch Strait,n_tanker,2615,-4.6001908947052295,True,0.4466417456433512,0.35626897324125784,0.945453577130728,False
composition_28x5,Korea Strait,n_container,2615,-11.06161046537273,True,0.13877127272862833,0.17390680871302583,0.8003641500195604,False
