model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days,native_nominal_coverage,native_empirical_coverage
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_container,5,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,2.0054821809132894,2.6007845003558496,0.8099919697355342,-0.2558692169984182,-19.00541639328003,-0.1111427859256142,30,0.95,0.9333333333333333
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_dry_bulk,5,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,4.804869715372721,6.025674282172481,0.6863425254103483,-0.38622841585649426,-81.11593627929688,-0.10829898034619076,30,0.95,0.9333333333333333
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_general_cargo,5,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,1.4304762403170268,1.8505845460711043,0.8286503798489868,-0.37683260266366075,-19.51547110080719,-0.2912756880717491,30,0.95,0.9333333333333333
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_roro,5,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,0.8736702382564545,1.0887855575261742,0.784630343684302,0.004440726391052252,0.14833980798721313,0.006449556869009267,30,0.95,0.3333333333333333
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_tanker,5,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,2.3331050872802734,3.2074669651921224,0.5956689722397748,-0.11360438214291735,-13.348905563354492,-0.05056403622482762,30,0.95,0.9
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_container,6,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,5.576139259338379,7.004040436326695,0.9045750845786013,0.2369587391465287,43.82106971740723,0.04593403534319416,30,0.95,1.0
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_dry_bulk,6,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,5.195802052815755,6.0572968328323125,0.9148336382652105,0.009510618693181675,1.6204681396484375,0.002025585174560547,30,0.95,0.9333333333333333
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_general_cargo,6,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,5.345602035522461,6.4556749879402044,0.6516184909163028,-0.05770957589869049,-14.202747344970703,-0.01175724117961151,30,0.95,1.0
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_roro,6,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,3.454367733001709,4.054557994512731,1.0313451096066704,0.013587947652243654,1.3653364181518555,0.004112459090818842,30,0.95,0.8333333333333334
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_tanker,6,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,8.4101011912028,9.724278608849806,0.9584799445061039,-0.40979266182883084,-107.87073135375977,-0.05710467514757002,30,0.95,0.8666666666666667
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_container,0,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,5.088457489013672,6.224172634126628,0.868178501411157,0.373306278174149,65.6392593383789,0.06780915220906912,30,0.95,0.9333333333333333
