model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_dry_bulk,5,,4.64476963876922,5.772304235110946,0.6634733328195741,0.27190603610678316,57.10587774823134,0.07624282743422076,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_general_cargo,5,,1.7,2.136976056643281,0.9847808764940239,-0.21240371845949532,-11.0,-0.16417910447761194,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_general_cargo,5,,1.4370507307620424,1.7609426386600657,0.8324588695330716,-0.04347093455589118,-2.2512801733553,-0.033601196617243284,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_roro,5,,0.9,1.35400640077266,0.8082767140210007,-0.20955322215359276,-7.0,-0.30434782608695654,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_roro,5,,0.9540336510938654,1.1330859943169185,0.856803538412897,0.29003834416911495,9.688557342705579,0.42124162359589473,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_tanker,5,,2.8333333333333335,3.692334401612797,0.7233830845771144,-0.14467661691542288,-17.0,-0.06439393939393939,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_tanker,5,,3.3812391540661197,4.011110579917829,0.8632698384569162,0.6151050086054695,72.276953727816,0.27377633987809086,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_container,6,,6.966666666666667,8.179242018671413,1.130149875413738,-0.6867417903231805,-127.0,-0.1331236897274633,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_container,6,,5.631971332811144,7.111953659815923,0.9136323014512332,0.27344409051750745,50.5683504121407,0.05300665661649969,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_dry_bulk,6,,6.733333333333333,8.835534316987664,1.1855493662710908,-0.45778638895616375,-78.0,-0.0975,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_dry_bulk,6,,6.324205890137001,8.277746914329112,1.113513606715815,-0.9444062057213068,-160.91278776162073,-0.2011409847020259,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_general_cargo,6,,8.633333333333333,10.845890158642275,1.0523865414710485,-0.5160350994858037,-127.0,-0.10513245033112582,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_general_cargo,6,,5.818254479798671,6.872866203795507,0.7092339045629835,0.034814763912941735,8.568167206744889,0.007092853647967623,30
